"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
1001,"HH",-0.858032020985619,NA,0.0234419015454916,NA,0,0,NA,NA,0.341555297476877,NA,1
1001,"HH-ANT",-1.10543850431044,-0.410237711446591,0.027884406325645,0.0255452576945258,0,0,0,0,0.39856077671923,NA,1
1001,"ETI",0.115034721974426,NA,0.0318214781196453,NA,100,0,NA,NA,0.124380818317344,NA,1
1001,"ETI-ANT",0.143528934524623,0.0268469926839845,0.0413212014670192,0.0249236558426312,100,0,100,100,0.123836125280381,NA,1
1001,"TEH",0.113381950155278,NA,0.358112107316318,NA,100,100,NA,NA,0.124440455678922,1.00889193488153,1
1001,"TEH-ANT",0.140965030604217,0.0259867345082393,0.360933086106329,0.0249190434681021,100,100,100,100,0.123879563517692,1.01417087065127,1
1002,"HH",-0.817137272462715,NA,0.0233166993728807,NA,0,0,NA,NA,0.290712922590365,NA,1
1002,"HH-ANT",-1.06513513886189,-0.412169062506076,0.0277329924276803,0.0254379895599571,0,0,0,0,0.341152209844551,NA,1
1002,"ETI",0.131823247448985,NA,0.0329145326221341,NA,100,0,NA,NA,0.16295378492575,NA,1
1002,"ETI-ANT",0.148980771390262,0.0147846027937295,0.0437903253896421,0.0256002576620938,100,0,100,100,0.165016473995932,NA,1
1002,"TEH",0.129972825555024,NA,0.347354289545705,NA,100,100,NA,NA,0.162743312204169,0.978053134710778,1
1002,"TEH-ANT",0.145872122577126,0.0137128488555894,0.349642466536715,0.0255890887993037,100,100,100,100,0.164652136355694,0.981172284205996,1
1003,"HH",-0.836375558560101,NA,0.0233928187167846,NA,0,0,NA,NA,0.29707760746591,NA,1
1003,"HH-ANT",-1.09697628821754,-0.43342714428964,0.0278115337892664,0.0255054190962151,0,0,0,0,0.348798672081061,NA,1
1003,"ETI",0.100892981757888,NA,0.032748499256571,NA,100,0,NA,NA,0.156041701624047,NA,1
1003,"ETI-ANT",0.0700004332523522,-0.0271215406139371,0.043224958146844,0.0254411590775364,100,100,100,100,0.153252550128445,NA,1
1003,"TEH",0.0990668978307502,NA,0.350914994911991,NA,100,100,NA,NA,0.155852561440613,0.988213176054659,1
1003,"TEH-ANT",0.0670644945921608,-0.0281254755343805,0.349921157663954,0.0254309569962756,100,100,100,100,0.152989088640741,0.982165525761665,1
1004,"HH",-0.858731899068528,NA,0.0235009164505221,NA,0,0,NA,NA,0.35319909060147,NA,1
1004,"HH-ANT",-1.1216233547798,-0.437078313907118,0.0279361694177651,0.0255890145328754,0,0,0,0,0.407637462159486,NA,1
1004,"ETI",0.0918341036149111,NA,0.0331577058262911,NA,100,0,NA,NA,0.169940435693163,NA,1
1004,"ETI-ANT",0.0715134074553096,-0.0179574666233409,0.0441447738521929,0.0257494764997102,100,100,100,100,0.170110877945827,NA,1
1004,"TEH",0.0900207133953339,NA,0.350466856065203,NA,100,100,NA,NA,0.16994169900362,0.986830116097182,1
1004,"TEH-ANT",0.0685636968104267,-0.0189677210872868,0.350251851244198,0.0257420500199686,100,100,100,100,0.170134960510955,0.982777509382482,1
1005,"HH",-0.818258682344954,NA,0.0233466860628543,NA,0,0,NA,NA,0.305536395820595,NA,1
1005,"HH-ANT",-1.07142644807388,-0.419691137732935,0.0277682411992156,0.0254567739565139,0,0,0,0,0.36240571216448,NA,1
1005,"ETI",0.171115355549422,NA,0.0324325007883484,NA,100,0,NA,NA,0.142669775877844,NA,1
1005,"ETI-ANT",0.189838605221042,0.0167995171255117,0.0427333225750162,0.025310036981804,100,0,100,100,0.144155954854886,NA,1
1005,"TEH",0.169247880119664,NA,0.355148656178134,NA,100,100,NA,NA,0.142518832647372,1.00032152721776,1
1005,"TEH-ANT",0.186822959175763,0.0157840951687403,0.357486256425731,0.025300142909832,100,100,100,100,0.143901667943495,1.00389163730823,1
1006,"HH",-0.840208680371242,NA,0.0235904379572079,NA,0,0,NA,NA,0.303250071068471,NA,1
1006,"HH-ANT",-1.12653915005073,-0.474064805691472,0.028034339141536,0.0256983189480682,0,0,0,0,0.369982792483968,NA,1
1006,"ETI",0.130618253685953,NA,0.0314643097019005,NA,100,0,NA,NA,0.106135793915237,NA,1
1006,"ETI-ANT",0.075645557373857,-0.0546432497878588,0.0400516419960062,0.0248470597631528,100,100,0,0,0.104854226068065,NA,1
1006,"TEH",0.128896731233482,NA,0.350697779062486,NA,100,100,NA,NA,0.106029132722384,0.987929504717185,1
1006,"TEH-ANT",0.0731432222128678,-0.0554674259873734,0.347900527352922,0.0248412218330152,100,100,0,0,0.104818489894335,0.9774810554416,1
1007,"HH",-0.83688982608779,NA,0.0234375752181437,NA,0,0,NA,NA,0.326471497351822,NA,1
1007,"HH-ANT",-1.1109400573103,-0.455497848070178,0.0278515369892309,0.02552231606216,0,0,0,0,0.383156076914039,NA,1
1007,"ETI",0.151078433469317,NA,0.0326082321828551,NA,100,0,NA,NA,0.151988441055918,NA,1
1007,"ETI-ANT",0.119320923016855,-0.0284387341978162,0.0430164508117081,0.0253608462545374,100,0,100,100,0.150415440143683,NA,1
1007,"TEH",0.149258025888986,NA,0.358801911438813,NA,100,100,NA,NA,0.151875441636056,1.01065175990019,1
1007,"TEH-ANT",0.116433411347315,-0.0294161100681435,0.35764673506461,0.0253526456656131,100,100,100,100,0.150287523993126,1.0042498610086,1
1008,"HH",-0.813002736251121,NA,0.0234315476620292,NA,0,0,NA,NA,0.312314579121044,NA,1
1008,"HH-ANT",-1.072932781114,-0.431657492677445,0.0278602431608775,0.025538856890983,0,0,0,0,0.3674647366696,NA,1
1008,"ETI",0.139087575045572,NA,0.0318864096459737,NA,100,0,NA,NA,0.126303442904662,NA,1
1008,"ETI-ANT",0.125123203201946,-0.0130001342831663,0.0414574775386726,0.024957100978975,100,0,100,100,0.125644375294281,NA,1
1008,"TEH",0.137435779681882,NA,0.356700697283479,NA,100,100,NA,NA,0.126207741450758,1.00486890782269,1
1008,"TEH-ANT",0.122548399195336,-0.0138711167729043,0.356723002819446,0.0249490514672358,100,100,100,100,0.125510356691194,1.00214309024607,1
1009,"HH",-0.852710901966184,NA,0.0233669994503128,NA,0,0,NA,NA,0.321413551589523,NA,1
