"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
1801,"HH",-0.869013819185374,NA,0.0233282737404054,NA,0,0,NA,NA,0.34576784163172,NA,1
1801,"HH-ANT",-1.11618227089402,-0.410567117413167,0.0277452318296571,0.0254166731720301,0,0,0,0,0.398986991148505,NA,1
1801,"ETI",0.113960051984335,NA,0.0325213621210136,NA,100,0,NA,NA,0.149150871192183,NA,1
1801,"ETI-ANT",0.154883111419606,0.0369137590365947,0.0429788638990155,0.0253385705968024,100,0,100,100,0.150289606683365,NA,1
1801,"TEH",0.11218403277466,NA,0.351584392750613,NA,100,100,NA,NA,0.149141560941111,0.99017354440325,1
1801,"TEH-ANT",0.152001707759763,0.0359344907758319,0.35543372602579,0.0253308353450904,100,100,100,100,0.150204306534474,0.997956908316294,1
1802,"HH",-0.835805478847014,NA,0.0235785754452293,NA,0,0,NA,NA,0.349955067679196,NA,1
1802,"HH-ANT",-1.09858246193962,-0.436512142692827,0.0280311781877698,0.0256771407450594,0,0,0,0,0.406466393054848,NA,1
1802,"ETI",0.140198927434942,NA,0.0329060357620365,NA,100,0,NA,NA,0.156822175763549,NA,1
1802,"ETI-ANT",0.132648098619035,-0.00676486238302705,0.0435766649862918,0.0255993902738011,100,0,100,100,0.157040673145351,NA,1
1802,"TEH",0.138398350404758,NA,0.357213130192742,NA,100,100,NA,NA,0.156840670259464,1.00606126351216,1
1802,"TEH-ANT",0.129753269868187,-0.00774742132744362,0.357806323397658,0.0255927738782253,100,100,100,100,0.157067756991519,1.00450947263254,1
1803,"HH",-0.84532717080408,NA,0.0234267583733849,NA,0,0,NA,NA,0.289117085923922,NA,1
1803,"HH-ANT",-1.10183602389224,-0.425239181872531,0.0278636226594593,0.0255557136213559,0,0,0,0,0.345747057311691,NA,1
1803,"ETI",0.0702967259429188,NA,0.0321570611790888,NA,100,0,NA,NA,0.131008562343275,NA,1
1803,"ETI-ANT",0.0397921777201299,-0.0282028563731606,0.0418753518473559,0.0251230497360181,100,100,100,100,0.129509609197734,NA,1
1803,"TEH",0.0685647197670191,NA,0.348263823513777,NA,100,100,NA,NA,0.130874409994028,0.98083775408706,1
1803,"TEH-ANT",0.0371162243781823,-0.0291059918479196,0.347269834915094,0.025114396487944,100,100,100,100,0.129365555989622,0.975076928933887,1
1804,"HH",-0.859653974182281,NA,0.0233718363205414,NA,0,0,NA,NA,0.315841491999895,NA,1
1804,"HH-ANT",-1.11229176011633,-0.419691766024772,0.027793948482369,0.0254767749860846,0,0,0,0,0.368884994281837,NA,1
1804,"ETI",0.135726328736314,NA,0.0329201868820001,NA,100,0,NA,NA,0.163814573096014,NA,1
1804,"ETI-ANT",0.160815885454642,0.0219048858718503,0.0438192443494585,0.0256027355512082,100,0,100,100,0.166034292265402,NA,1
1804,"TEH",0.133755682419917,NA,0.351573434722676,NA,100,100,NA,NA,0.163647253089093,0.990038003272712,1
1804,"TEH-ANT",0.15756749920367,0.0208048122906187,0.354494904609847,0.025592536197626,100,100,100,100,0.165742894338591,0.994992504483271,1
1805,"HH",-0.829866986633637,NA,0.0233633945047255,NA,0,0,NA,NA,0.321880003754428,NA,1
1805,"HH-ANT",-1.10515020121308,-0.456972373844445,0.0277642581256082,0.0254424684743616,0,0,0,0,0.381695660334629,NA,1
1805,"ETI",0.144696681254802,NA,0.0325434078975683,NA,100,0,NA,NA,0.14770246417925,NA,1
