"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
1001,"HH",-0.0073211318982754,NA,0.0200646324439266,NA,100,100,NA,0.123940999879747,1
1001,"HH-ANT",0.00486156019204797,0.0213720257052465,0.0237217048811111,0.0222283890469578,100,100,100,0.12365034206392,1
1002,"HH",0.022793234651789,NA,0.0203609837853733,NA,100,100,NA,0.163719835831227,1
1002,"HH-ANT",0.0296556486117607,0.0116860361313624,0.02418164685233,0.0224198317525005,100,100,100,0.164454498866729,1
1003,"HH",0.00324517010353707,NA,0.0203138983778778,NA,100,100,NA,0.15797473979254,1
1003,"HH-ANT",-0.00244111339508207,-0.00969985197782065,0.0241071942443718,0.022379834267782,100,100,100,0.157401633755362,1
1004,"HH",-0.0107734034099869,NA,0.0204604108954146,NA,100,100,NA,0.169821434330807,1
1004,"HH-ANT",-0.0150438126448761,-0.00732883793910554,0.0243045351810407,0.0225157485805325,100,100,100,0.169782754647872,1
1005,"HH",0.0247494371934241,NA,0.0202256109133289,NA,100,100,NA,0.140624260427909,1
1005,"HH-ANT",0.0286902047198129,0.0068268935644735,0.0239687420672479,0.0223376322401426,100,100,100,0.140838610899732,1
1006,"HH",0.00167510813785971,NA,0.0201785760068925,NA,100,100,NA,0.105331821139512,1
1006,"HH-ANT",-0.0243183592338992,-0.0464947053824107,0.0237547599761192,0.022483740899131,100,100,0,0.104675425932301,1
1007,"HH",0.00704636382058351,NA,0.0202451861843092,NA,100,100,NA,0.150519470534631,1
1007,"HH-ANT",-0.00932928725937237,-0.0282327581441047,0.0240076725546231,0.0223230793506248,100,100,100,0.149687498956566,1
1008,"HH",0.0278807840959344,NA,0.0200842236437218,NA,100,100,NA,0.126775218386334,1
1008,"HH-ANT",0.0240230102093837,-0.00671989211514893,0.0237560885639849,0.0222365444778508,100,100,100,0.126543974820337,1
1009,"HH",-0.00634810313733363,NA,0.0203343443571656,NA,100,100,NA,0.156339019783553,1
1009,"HH-ANT",0.0123790996804892,0.0322858084356106,0.0241329928489218,0.0224081163362108,100,100,100,0.156658214929122,1
1010,"HH",-0.00663402737241745,NA,0.0202423659834367,NA,100,100,NA,0.132883011515689,1
1010,"HH-ANT",-0.0253761872219368,-0.0327054493775216,0.0239656629869706,0.0223880955721838,100,100,100,0.133188272228217,1
1011,"HH",0.0103493300345742,NA,0.0204805874344833,NA,100,100,NA,0.179056528849507,1
1011,"HH-ANT",-0.00566832245869803,-0.0274123819593275,0.0243415065615862,0.022518433072013,100,100,100,0.178869871891682,1
1012,"HH",0.0184883904632273,NA,0.0203772054235973,NA,100,100,NA,0.176985808145675,1
1012,"HH-ANT",-0.00657995924933022,-0.0428436785551409,0.0242108126386255,0.0224048788634816,100,100,100,0.175732135052941,1
1013,"HH",-0.0349486492876569,NA,0.0203791091138951,NA,100,100,NA,0.141032439428207,1
1013,"HH-ANT",-0.0425238559804999,-0.0131591509516671,0.0241482610201821,0.0225094599216717,100,100,100,0.141195270666509,1
1014,"HH",-0.00288910853841647,NA,0.0202177201335415,NA,100,100,NA,0.143182157889805,1
1014,"HH-ANT",-0.0249052610275932,-0.0381914842588911,0.0239621247387312,0.0223173917640756,100,100,100,0.143038380104083,1
1015,"HH",-0.0375272777865853,NA,0.0202134381816138,NA,100,100,NA,0.153806529577088,1
1015,"HH-ANT",-0.0589561853904941,-0.0369758166063889,0.023985224789719,0.0222790459671651,0,0,100,0.154028013569032,1
1016,"HH",0.0092288392858738,NA,0.0198772755995054,NA,100,100,NA,0.107247169799577,1
1016,"HH-ANT",0.0183119366716733,0.0161737719681855,0.0234298005858694,0.0221226012714424,100,100,100,0.107031407988734,1
1017,"HH",0.0255566160432014,NA,0.019979207082121,NA,100,100,NA,0.102661858419478,1
1017,"HH-ANT",0.0138344913270869,-0.0210258668962526,0.0235270435501812,0.0222813997885408,100,100,100,0.102796789556804,1
1018,"HH",0.00252698609160559,NA,0.0204536053523213,NA,100,100,NA,0.166738259911246,1
1018,"HH-ANT",0.00710564723874429,0.00786107664068764,0.0242907141610386,0.0225150975568285,100,100,100,0.166617169267314,1
1019,"HH",0.0137767353509735,NA,0.0199231148642986,NA,100,100,NA,0.0996306879153429,1
1019,"HH-ANT",0.0324305076092301,0.0330519079447513,0.0234030693738807,0.0222341323822908,100,100,100,0.0979328728973953,1
1020,"HH",0.00108279268173947,NA,0.0203527940169067,NA,100,100,NA,0.154112848426863,1
1020,"HH-ANT",0.0129710474446464,0.0204572301444436,0.0241433360584054,0.0224339633231714,100,100,100,0.153440536920966,1
1021,"HH",-0.00445571477746768,NA,0.0203696465379632,NA,100,100,NA,0.158054388923866,1
1021,"HH-ANT",-0.00615036582938839,-0.00291369809933955,0.0241760658649756,0.0224431366224845,100,100,100,0.157986173268151,1
1022,"HH",-0.00424676327745367,NA,0.0203335844086562,NA,100,100,NA,0.132792128478444,1
1022,"HH-ANT",-0.0279651124825297,-0.0414124633850214,0.0240709734560134,0.0224916301172854,100,100,100,0.133098555297217,1
1023,"HH",0.00660886028614108,NA,0.0204076392338077,NA,100,100,NA,0.151190711556977,1
1023,"HH-ANT",0.0267048734668605,0.0347135026514047,0.0242094101422516,0.0225062898022686,100,100,100,0.151761383185451,1
1024,"HH",0.0283821884618524,NA,0.0202779992635459,NA,100,100,NA,0.132902225717963,1
1024,"HH-ANT",0.0188457141563286,-0.0166159671184916,0.0240005708090336,0.0224272329041826,100,100,100,0.132529515066266,1
1025,"HH",0.0119300637333156,NA,0.0202098294680991,NA,100,100,NA,0.124259386543655,1
1025,"HH-ANT",-0.00090106047390071,-0.0225264909262131,0.0238916625062002,0.0223924717025876,100,100,100,0.124012305838,1
1026,"HH",0.0183050808104892,NA,0.0201579709108144,NA,100,100,NA,0.128351739833848,1
1026,"HH-ANT",0.0273232361028829,0.0157521097272041,0.0238541597996089,0.0223143304778566,100,100,100,0.128729431290932,1
1027,"HH",0.00704716152231525,NA,0.0202705679670469,NA,100,100,NA,0.124994499151576,1
1027,"HH-ANT",-0.00606006407235569,-0.023008106789828,0.0239706283237202,0.0224592841189588,100,100,100,0.125206363616186,1
1028,"HH",-0.0314225611635346,NA,0.0201412368590331,NA,100,100,NA,0.134306472132209,1
1028,"HH-ANT",-0.0641641765913507,-0.0570498260913372,0.0238395151188659,0.0222625233199705,0,0,0,0.133518098318625,1
1029,"HH",0.0173294073534049,NA,0.0200032538820018,NA,100,100,NA,0.10651341292202,1
1029,"HH-ANT",0.0107001021750107,-0.0118099918020713,0.0235792556179881,0.0222765615328756,100,100,100,0.106769571013355,1
1030,"HH",-0.00461755462524777,NA,0.0202882404153443,NA,100,100,NA,0.137132288119978,1
1030,"HH-ANT",-0.000115875718693485,0.00781881351430504,0.0240279163276241,0.0224213350834469,100,100,100,0.136944144928124,1
1031,"HH",-0.016294746190788,NA,0.0201006202083675,NA,100,100,NA,0.113268595320169,1
1031,"HH-ANT",-0.0159727096518645,0.000559634811219619,0.0237227348439487,0.0223366914324927,100,100,100,0.113334779296026,1
1032,"HH",0.0300708982442845,NA,0.020359144659536,NA,100,100,NA,0.153323479444063,1
1032,"HH-ANT",0.0488298082856418,0.0323865286022925,0.0241508629085183,0.0224435597202585,0,0,100,0.152980813860347,1
1033,"HH",0.0484126844826435,NA,0.0204470258318763,NA,0,0,NA,0.161298211678559,1
1033,"HH-ANT",0.04313607490886,-0.00907414956930484,0.0242724760374888,0.022521113700305,100,100,100,0.161126512274475,1
1034,"HH",-0.00357968215418483,NA,0.0203056128669972,NA,100,100,NA,0.146175904463915,1
1034,"HH-ANT",3.23240650660025e-05,0.00625451561424228,0.0240742068235458,0.0224073812271753,100,100,100,0.146110051350327,1
1035,"HH",0.0139460872617674,NA,0.0202622826573086,NA,100,100,NA,0.126878379131529,1
1035,"HH-ANT",0.00321840526809985,-0.0188028247980222,0.0239635021339903,0.0224388375932052,100,100,100,0.126710382478669,1
1036,"HH",-0.0236846451896552,NA,0.0202601068045666,NA,100,100,NA,0.157045394416198,1
1036,"HH-ANT",-0.0305351822364594,-0.0117254996010967,0.0240500801715428,0.0223239127835652,100,100,100,0.157648000170315,1
1037,"HH",-0.00140911513855452,NA,0.0201457475913719,NA,100,100,NA,0.131320335442452,1
1037,"HH-ANT",0.0141563799552886,0.027170380339496,0.0238491435567377,0.022285853989668,100,100,100,0.131677603507851,1
1038,"HH",0.00501010639401848,NA,0.0202762202436436,NA,100,100,NA,0.135788908104054,1
1038,"HH-ANT",-0.0186601373553575,-0.0411937054283541,0.0240177592104671,0.022414416057654,100,100,100,0.136524191162091,1
1039,"HH",0.000307691189572204,NA,0.01996654569928,NA,100,100,NA,0.102980321376208,1
1039,"HH-ANT",0.0198911255811812,0.0351143371328493,0.0235130473703463,0.0222629798935167,100,100,100,0.103075780098214,1
1040,"HH",-0.0113979604647017,NA,0.0201031385689305,NA,100,100,NA,0.138585548600519,1
1040,"HH-ANT",0.00274571885032637,0.0245300662465601,0.0238237503068531,0.0222074937673127,100,100,100,0.13921797872925,1
1041,"HH",0.00494131213434481,NA,0.0202347467192035,NA,100,100,NA,0.144778850554824,1
1041,"HH-ANT",0.0114571769165092,0.0112903737602454,0.023989537772006,0.0223325951183557,100,100,100,0.144913405157153,1
1042,"HH",-0.000287321149706701,NA,0.0203037878308941,NA,100,100,NA,0.140532431093801,1
1042,"HH-ANT",-0.0147320345575224,-0.0249563554085711,0.0240665176527444,0.0224278339060883,100,100,100,0.14155634815972,1
1043,"HH",-0.00345620815318405,NA,0.0202291955955847,NA,100,100,NA,0.148595672327378,1
1043,"HH-ANT",0.0126370560725484,0.0277558281548981,0.0239839006158857,0.0223110174012839,100,100,100,0.147713101971221,1
1044,"HH",0.0250683615463961,NA,0.0203643605775021,NA,100,100,NA,0.137142164657351,1
1044,"HH-ANT",0.0102573892301989,-0.025776923501849,0.0241216734973435,0.0225085185102489,100,100,100,0.137521823611095,1
1045,"HH",0.0220801696584026,NA,0.0203096261037427,NA,100,100,NA,0.142263856981351,1
1045,"HH-ANT",0.0410437274600111,0.0328008379468633,0.0240778443417488,0.0224275884446018,100,100,100,0.143336719442931,1
1046,"HH",0.000864252825093414,NA,0.0202788248932198,NA,100,100,NA,0.142042413238938,1
1046,"HH-ANT",0.0133017119406373,0.0215779145971392,0.0240295496676295,0.0223909332172668,100,100,100,0.141722311860877,1
1047,"HH",0.00721695089104668,NA,0.020147802423044,NA,100,100,NA,0.131753865349209,1
1047,"HH-ANT",0.0189013442733994,0.0204033418529617,0.023850235061378,0.0222856985104589,100,100,100,0.13183595786739,1
1048,"HH",-0.0180765765990356,NA,0.0201763408657433,NA,100,100,NA,0.132248628740432,1
