"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
1801,"HH",-0.0208779644330377,NA,0.0202193385217904,NA,100,100,NA,0.148222463336237,1
1801,"HH-ANT",-0.00986563908378408,0.0190509033925579,0.0239798694621592,0.0223034793708665,100,100,100,0.148369371599401,1
1802,"HH",0.0126446629214239,NA,0.0204039398286857,NA,100,100,NA,0.157039893798266,1
1802,"HH-ANT",0.00901945456648963,-0.00625147953918827,0.0242147445201308,0.0224846084066186,100,100,100,0.157067270395651,1
1803,"HH",-0.00641174359041913,NA,0.0202211708149769,NA,100,100,NA,0.134719842209244,1
1803,"HH-ANT",-0.00727450885066246,-0.00149871945111423,0.0239441255184762,0.0223558920639208,100,100,100,0.134690837849101,1
1804,"HH",-0.0160175615040293,NA,0.0203478647056275,NA,100,100,NA,0.161623049695405,1
1804,"HH-ANT",-0.0119799842088148,0.00692382682957565,0.0241596888162564,0.0224097632992877,100,100,100,0.161893207073263,1
1805,"HH",0.0148113131493795,NA,0.0202460869888595,NA,100,100,NA,0.146202741677828,1
1805,"HH-ANT",-0.0018763540155785,-0.0288757453451026,0.0240003156691863,0.022338560321741,100,100,100,0.145669418812157,1
1806,"HH",-0.00277686963269586,NA,0.0202950592765967,NA,100,100,NA,0.155787516136589,1
1806,"HH-ANT",0.0161761442158217,0.0323286549216089,0.0240694522130425,0.0223613627665383,100,100,100,0.15375054620032,1
1807,"HH",-0.00570725051091675,NA,0.020088938836658,NA,100,100,NA,0.120521801140181,1
1807,"HH-ANT",0.00409027974748679,0.0172170313890905,0.0237452346094007,0.0222776585569389,100,100,100,0.120898836290123,1
1808,"HH",0.0138682844207057,NA,0.0201241556547189,NA,100,100,NA,0.152211970130677,1
1808,"HH-ANT",0.0253963647899643,0.01990266647281,0.0238766076336824,0.0221836888454278,100,100,100,0.152223991995104,1
1809,"HH",-0.0100006669398009,NA,0.0202598596280702,NA,100,100,NA,0.153676398547814,1
1809,"HH-ANT",0.00193912661679526,0.0205433397678651,0.0240336344542042,0.0223307271002956,100,100,100,0.152999074323192,1
1810,"HH",0.00657388958356308,NA,0.0203675266047832,NA,100,100,NA,0.140004925889046,1
1810,"HH-ANT",0.0210502783224783,0.0250851518189797,0.0241225943729196,0.0224977157522279,100,100,100,0.139215160065485,1
1811,"HH",0.0232735464317027,NA,0.0202902564658255,NA,100,100,NA,0.135613731274532,1
1811,"HH-ANT",0.0256696300149983,0.00417619561758337,0.0240275502100263,0.022430481012929,100,100,100,0.135613643973436,1
1812,"HH",-0.0300684904477559,NA,0.0203018825862483,NA,100,100,NA,0.158765047900776,1
1812,"HH-ANT",-0.0272271480699785,0.00489459515722949,0.024098792821985,0.0223652875998767,100,100,100,0.158798953992939,1
1813,"HH",0.00674332820749548,NA,0.0201795473810202,NA,100,100,NA,0.126977884471893,1
1813,"HH-ANT",0.00769664783478345,0.00166183437468876,0.0238711943516207,0.0223450969337563,100,100,100,0.127062977322424,1
1814,"HH",-0.00485742247156992,NA,0.0203213990479928,NA,100,100,NA,0.163179469034129,1
