"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
601,"HH",0.000814777221162029,NA,0.0202900403938716,NA,100,100,NA,0.145451109495734,1
601,"HH-ANT",-0.0109106607797548,-0.02031977636281,0.024053564074309,0.0223919317720938,100,100,100,0.145345281743568,1
602,"HH",0.0145662693291172,NA,0.0201459411598197,NA,100,100,NA,0.128540957847488,1
602,"HH-ANT",0.0207159795811735,0.0107622478106956,0.0238375005462947,0.0222989291487538,100,100,100,0.128617452418686,1
603,"HH",-0.0139296264595804,NA,0.0204336002543265,NA,100,100,NA,0.144900238684489,1
603,"HH-ANT",-0.0193194454774976,-0.00933639081639249,0.0242225899598639,0.022556846778925,100,100,100,0.145105848283295,1
604,"HH",-0.0014713525966681,NA,0.020331574998825,NA,100,100,NA,0.141832628171164,1
604,"HH-ANT",0.0125467639525788,0.0242664885236551,0.0240864397206335,0.0224502367050012,100,100,100,0.141079092575644,1
605,"HH",-0.0190677539475677,NA,0.0201705795533107,NA,100,100,NA,0.122402919849323,1
605,"HH-ANT",-0.0251576100629679,-0.0107113968710058,0.023842737875487,0.0223591239605573,100,100,100,0.122429486005091,1
606,"HH",0.0173254617971156,NA,0.0202849190127377,NA,100,100,NA,0.165214908566237,1
606,"HH-ANT",0.0152302218806921,-0.00359882618603192,0.0240912326364047,0.0223300689090051,100,100,100,0.165280567522918,1
607,"HH",-0.00921710917309708,NA,0.0199485650214077,NA,100,100,NA,0.119762090417652,1
607,"HH-ANT",0.00553051449563141,0.0259279260933576,0.0235677571199128,0.0221182411761004,100,100,100,0.119278010943579,1
608,"HH",-0.00294724519496183,NA,0.0201798039287367,NA,100,100,NA,0.131710698535867,1
608,"HH-ANT",0.0106940446547107,0.0237688399470067,0.0238925769936106,0.0223235147550673,100,100,100,0.132297513834795,1
609,"HH",-0.00120214188235692,NA,0.0202077560406779,NA,100,100,NA,0.127859607210989,1
609,"HH-ANT",-0.00315330598433623,-0.00341278073317332,0.0239071010318783,0.022372782841148,100,100,100,0.12794809243451,1
