"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
1294,"HH",0.034662964129968,NA,0.0201101886807393,NA,100,100,NA,0.125854356774016,1
1294,"HH-ANT",0.0319827213777743,-0.00469303939552546,0.023786950739985,0.022271879893143,100,100,100,0.125964056812099,1
1295,"HH",0.00288981176140141,NA,0.020258548027909,NA,100,100,NA,0.160709797920756,1
1295,"HH-ANT",0.0127352540950393,0.0168713274101939,0.0240471717095599,0.0223102441808483,100,100,100,0.16003871228266,1
1296,"HH",-0.00819843518072204,NA,0.0203023530632121,NA,100,100,NA,0.150102899473644,1
1296,"HH-ANT",0.0127048134341293,0.0359759546129839,0.0240683334325612,0.0223871525869622,100,100,100,0.148665066291608,1
1297,"HH",0.023913555892709,NA,0.020285573205789,NA,100,100,NA,0.16359428639939,1
1297,"HH-ANT",0.0188425049015444,-0.00871424057338777,0.0240879941056634,0.0223343921854431,100,100,100,0.163485553995593,1
1298,"HH",-0.0313899881166314,NA,0.0201294151545102,NA,100,100,NA,0.110990828043805,1
1298,"HH-ANT",-0.0431830750175541,-0.0209621705009309,0.0237454076023315,0.0223862900557075,100,100,100,0.111118877677634,1
1299,"HH",0.00978811468514032,NA,0.0201358939970552,NA,100,100,NA,0.12391612859712,1
1299,"HH-ANT",0.00758417447059563,-0.00386991272776947,0.023808003535921,0.0223110746633446,100,100,100,0.123901793640532,1
1300,"HH",-0.067256515338156,NA,0.0205602679755393,NA,0,0,NA,0.148511075498057,1
1300,"HH-ANT",-0.0762855996829388,-0.0156367807681523,0.0243768889003423,0.0226864495519036,0,0,100,0.148403486117832,1
1301,"HH",0.00439254261254142,NA,0.0204014767317013,NA,100,100,NA,0.162118022424846,1
1301,"HH-ANT",-0.00929077591164099,-0.0235399872520016,0.024219775436313,0.0224674102078083,100,100,100,0.161859034175364,1
1302,"HH",0.00376555163963515,NA,0.0202879979322298,NA,100,100,NA,0.142727908779827,1
1302,"HH-ANT",-0.00347600811331001,-0.0125514255020366,0.024047515678616,0.022400333719512,100,100,100,0.142995690050824,1
1303,"HH",-0.0226524925926783,NA,0.0203318364792292,NA,100,100,NA,0.134702153140491,1
1303,"HH-ANT",-0.0484204830506581,-0.0447384036744408,0.0240869347764891,0.0224840066772517,0,0,0,0.136213431909181,1
