"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
801,"HH",0.00555175308419985,NA,0.0201154871162833,NA,100,100,NA,0.141813751640111,1
801,"HH-ANT",0.0130186931656293,0.0129216352232023,0.0238383772791252,0.0222073690190974,100,100,100,0.141455447601348,1
802,"HH",-0.0379958005858913,NA,0.0202035289817542,NA,100,100,NA,0.132329338469559,1
802,"HH-ANT",-0.0574390714265235,-0.0337733751917788,0.0239282218377482,0.0223488793082406,0,0,100,0.133542817669176,1
803,"HH",-0.022164276577985,NA,0.020230776598242,NA,100,100,NA,0.132032171034391,1
803,"HH-ANT",-0.0358336764806834,-0.0238003827019421,0.0239537951433651,0.0223801858689656,100,100,100,0.132705267514261,1
804,"HH",0.0101926403391794,NA,0.0204113332027683,NA,100,100,NA,0.157591349327799,1
804,"HH-ANT",-0.0149308126419805,-0.0417884006711598,0.0242543850760189,0.0224979955650145,100,100,100,0.162437255058921,1
805,"HH",0.0084129352492183,NA,0.02018513105347,NA,100,100,NA,0.142977430324224,1
805,"HH-ANT",0.00811054224142237,-0.000521374928021773,0.0239263796929978,0.0222828647988921,100,100,100,0.143026578401209,1
806,"HH",-0.0317287480282096,NA,0.0201991405732772,NA,100,100,NA,0.114636047911266,1
806,"HH-ANT",-0.0377077201727786,-0.0105669889843787,0.0238383724773646,0.0224393158402163,100,100,100,0.114421297441397,1
807,"HH",-0.011605762697575,NA,0.0203866020497593,NA,100,100,NA,0.143188678111259,1
807,"HH-ANT",-0.011166284638024,0.000764163816777859,0.0241616661951129,0.0225096104023738,100,100,100,0.143202667539047,1
808,"HH",-0.00725194038189489,NA,0.020300559773409,NA,100,100,NA,0.138625162290623,1
808,"HH-ANT",-0.0147658171543638,-0.0129970215255129,0.0240535055244599,0.0224309272107035,100,100,100,0.139164571671514,1
809,"HH",-0.0103860623682909,NA,0.020256428795055,NA,100,100,NA,0.123130525453206,1
809,"HH-ANT",-0.0190532536213481,-0.0152332756017238,0.0239469909019307,0.0224535600245038,100,100,100,0.123314523742712,1
810,"HH",-0.0404473848509727,NA,0.0201215233900988,NA,0,0,NA,0.140455060294722,1
810,"HH-ANT",-0.0362876184880129,0.00721357115006415,0.0238464949274916,0.0222204774104301,100,100,100,0.140624443784473,1
811,"HH",0.00312216383337291,NA,0.020114218242395,NA,100,100,NA,0.123437118139652,1
811,"HH-ANT",-0.0180696158392338,-0.037039155599399,0.0237957104165104,0.0222919343058889,100,100,100,0.124674882931767,1
812,"HH",-0.0237657480957932,NA,0.0203059036177061,NA,100,100,NA,0.140770240757632,1
