"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
201,"HH",0.0405284739671399,NA,0.0202626208401467,NA,100,0,NA,0.134834623254127,1
201,"HH-ANT",0.0374402160294289,-0.00534676082593983,0.0239908059529651,0.02240191100103,100,100,100,0.134621860542144,1
202,"HH",0.0531717672412082,NA,0.0204313023675123,NA,100,0,NA,0.143331276006785,1
202,"HH-ANT",0.0415015464442052,-0.0202553544622898,0.0242152042182193,0.0225596285120581,100,100,100,0.143497545578314,1
203,"HH",0.0907654086103133,NA,0.0200575418480815,NA,100,0,NA,0.122613164164669,1
203,"HH-ANT",0.0959415593457285,0.00895068406324922,0.0237055090006505,0.0222270008954628,100,0,100,0.122085469758844,1
204,"HH",0.0250116357291904,NA,0.0205701592949016,NA,100,100,NA,0.1553605755834,1
204,"HH-ANT",0.0220994255088768,-0.00501995464699837,0.0244047732242265,0.022676089145749,100,100,100,0.155259362739273,1
205,"HH",0.0798377187461319,NA,0.02022900663791,NA,100,0,NA,0.128616887146651,1
205,"HH-ANT",0.0711477026587093,-0.0152140423567991,0.0239327868114295,0.0223926708822608,100,0,100,0.128578195862481,1
206,"HH",0.0534644494285769,NA,0.0201828017582895,NA,100,0,NA,0.124298721070913,1
206,"HH-ANT",0.0622275178403002,0.0153821335913886,0.0238618683271697,0.0223619140873617,100,0,100,0.124142827076279,1
207,"HH",0.0492732330245455,NA,0.0203587030724872,NA,100,0,NA,0.136125972645878,1
207,"HH-ANT",0.0511307599619038,0.00323070759947813,0.0241097845357759,0.0225061775960174,100,0,100,0.136225947700024,1
208,"HH",0.0519613580464162,NA,0.0200986378274147,NA,100,0,NA,0.122602641230372,1
208,"HH-ANT",0.0650554238988999,0.0230054598607334,0.0237628781259979,0.022276259085164,100,0,100,0.122861876435078,1
209,"HH",0.0508703699377448,NA,0.0200825656498166,NA,100,0,NA,0.119639709096011,1
209,"HH-ANT",0.0588390388764896,0.0140428549760199,0.0237297021284832,0.0222744681827251,100,0,100,0.119674476487594,1
210,"HH",0.0634241615855863,NA,0.0199253670234533,NA,100,0,NA,0.103886975574233,1
210,"HH-ANT",0.0666370000439546,0.00575151498460513,0.0234714867716776,0.0222078500005766,100,0,100,0.103953109566527,1
211,"HH",0.0506202408978134,NA,0.0203980397739107,NA,100,0,NA,0.168945492150198,1
211,"HH-ANT",0.0526818389707023,0.00353894941090529,0.0242302750751176,0.0224480505062174,100,0,100,0.168980157168667,1
212,"HH",0.066205939161679,NA,0.0203371221092001,NA,100,0,NA,0.153155764638846,1
212,"HH-ANT",0.0440173835853678,-0.0383184480268011,0.0241272161190479,0.0224196816949165,100,100,100,0.153201662351292,1
213,"HH",0.0518097829746976,NA,0.0203122833042559,NA,100,0,NA,0.153395657781779,1
213,"HH-ANT",0.0735086597591986,0.0374385122884816,0.0241023899317496,0.0223920037146251,100,0,100,0.153952856926371,1
214,"HH",0.029827894645366,NA,0.0204025300986002,NA,100,100,NA,0.143732227808725,1
214,"HH-ANT",0.0547816508128427,0.0431673718384963,0.0241911596420299,0.0225269915011233,100,0,100,0.145014136246585,1
215,"HH",0.0536921158283191,NA,0.0200938457413263,NA,100,0,NA,0.115202454790358,1
215,"HH-ANT",0.0301289062514461,-0.0415200885762482,0.0237019445057292,0.0223090401195151,100,100,100,0.113926163710084,1
216,"HH",0.0451332727285092,NA,0.0203092136045714,NA,100,0,NA,0.144793794100723,1
216,"HH-ANT",0.052031637546102,0.0119110047237873,0.024071896221689,0.0224154132539543,100,0,100,0.144384887198094,1
217,"HH",0.0506078267467607,NA,0.0202087813921836,NA,100,0,NA,0.16117023948378,1
217,"HH-ANT",0.0419695695137216,-0.014804626878111,0.0239975257625899,0.022255273307959,100,100,100,0.161748628321806,1
218,"HH",0.025292765406734,NA,0.0202891190404139,NA,100,100,NA,0.158778609223073,1
218,"HH-ANT",0.0196085901780273,-0.00976712954278593,0.0240855914091799,0.0223513204039014,100,100,100,0.159087545852624,1
219,"HH",0.0836842248397012,NA,0.0202705467752141,NA,100,0,NA,0.144952379064006,1
219,"HH-ANT",0.0743195851552564,-0.016149468595128,0.0240359766075853,0.0223733929563503,100,0,100,0.145606033890228,1
220,"HH",0.0738450396297308,NA,0.0203120856045154,NA,100,0,NA,0.136538120943321,1
220,"HH-ANT",0.063434706437741,-0.0181206488063681,0.0240528848581192,0.0224504147587535,100,0,100,0.136272530432398,1
221,"HH",0.0671438890563198,NA,0.0203500048874741,NA,100,0,NA,0.139994449708647,1
221,"HH-ANT",0.0620364088575871,-0.00886104675225188,0.0241122356223404,0.0224808161674386,100,0,100,0.140234405697019,1
222,"HH",0.0591248632072195,NA,0.0202538461878981,NA,100,0,NA,0.1338057824439,1
222,"HH-ANT",0.0515875784462927,-0.0130034612834213,0.0239721642887546,0.0223950252544794,100,0,100,0.133111608410427,1
223,"HH",0.0471659898510832,NA,0.0201995895140569,NA,100,0,NA,0.127748569162222,1
223,"HH-ANT",0.0629953206489016,0.0277196762106208,0.0238982825966309,0.022363881983823,100,0,100,0.1279775129324,1
224,"HH",0.0452980620816929,NA,0.0201055411974034,NA,100,0,NA,0.120877002190717,1
224,"HH-ANT",0.0603952942380022,0.0265319112972654,0.0237674227336657,0.0222947415487196,100,0,100,0.121394525361618,1
225,"HH",0.0432514005941121,NA,0.0202145745912467,NA,100,0,NA,0.145761008714157,1
225,"HH-ANT",0.0378626855536553,-0.00925052223412792,0.0239715403880701,0.0223072634079708,100,100,100,0.14627289091463,1
226,"HH",0.0388671675120138,NA,0.0202435099211839,NA,100,100,NA,0.156883306819917,1
226,"HH-ANT",0.0399986751075886,0.00193836140864339,0.0240271646583503,0.0223049945024672,100,100,100,0.156994846593315,1
227,"HH",0.0696919072422544,NA,0.0204340389853171,NA,100,0,NA,0.163993463136553,1
227,"HH-ANT",0.0606335914739681,-0.0155588979693862,0.0242654752975143,0.0225003949678425,100,0,100,0.164347687854925,1
228,"HH",0.0591792746682753,NA,0.0204083735932173,NA,100,0,NA,0.155411532944471,1
228,"HH-ANT",0.0431280821990794,-0.027694356590123,0.0242171031667253,0.022493978563124,100,100,100,0.155608365412702,1
229,"HH",0.067180294180341,NA,0.0200748029900712,NA,100,0,NA,0.122067608821319,1
229,"HH-ANT",0.0644668747905983,-0.00476251614637629,0.0237292030144896,0.0222512896260112,100,0,100,0.121989421715019,1
230,"HH",0.0232536954466075,NA,0.0203937046848895,NA,100,100,NA,0.145429268171483,1
230,"HH-ANT",0.00563408534971633,-0.0305194043058685,0.0241703936634384,0.0225076665987772,0,100,100,0.14488758801409,1
231,"HH",0.0561583622332924,NA,0.0203540751180612,NA,100,0,NA,0.14509307920296,1
231,"HH-ANT",0.0658901868698525,0.0168721343459966,0.0241276881308009,0.0224656013988497,100,0,100,0.145011803060403,1
232,"HH",0.0733294403491884,NA,0.0201254931919595,NA,100,0,NA,0.114436855662239,1
232,"HH-ANT",0.0601024351240246,-0.023418775492454,0.0237589915434776,0.0223574250497144,100,0,100,0.11466120199653,1
233,"HH",0.0472049225895482,NA,0.0200809353094776,NA,100,0,NA,0.11560454326899,1
233,"HH-ANT",0.0360004821350791,-0.0197053570995375,0.02369950883912,0.0222950298408294,100,100,100,0.114938760739505,1
234,"HH",0.0486639173115757,NA,0.0201219935512669,NA,100,0,NA,0.152158028370779,1
234,"HH-ANT",0.0535557044705486,0.00844405974551701,0.0238747363229933,0.0221817985131992,100,0,100,0.152242081362197,1
235,"HH",0.00310316321359569,NA,0.0203302096031464,NA,0,100,NA,0.14247749329041,1
235,"HH-ANT",-0.000977731606798666,-0.00707654465745946,0.0240928008564062,0.0224481777073267,0,100,100,0.142362190924329,1
236,"HH",0.0607204255697053,NA,0.0202192158735264,NA,100,0,NA,0.150486370020315,1
236,"HH-ANT",0.0637588615442694,0.00525037910597458,0.023983913096786,0.0222960789584233,100,0,100,0.15045658167205,1
237,"HH",0.064533139000748,NA,0.020062418115303,NA,100,0,NA,0.129647835917779,1
237,"HH-ANT",0.0629260234396655,-0.00279779590142626,0.023744750915902,0.02219881201204,100,0,100,0.129762169268267,1
238,"HH",0.0590679323987433,NA,0.0202057635143321,NA,100,0,NA,0.135243830784566,1
238,"HH-ANT",0.0747123630736811,0.0272637831957203,0.0239280068858708,0.0223358171236623,100,0,100,0.135292191178437,1
239,"HH",0.0310791283109907,NA,0.0202898937869884,NA,100,100,NA,0.133399305553862,1
239,"HH-ANT",0.0424793720157817,0.0198771996292789,0.0240234406256064,0.0224403465951479,100,100,100,0.133737216402958,1
240,"HH",0.0498741665773057,NA,0.0202104686548682,NA,100,0,NA,0.125169826249305,1
240,"HH-ANT",0.0453135157960887,-0.00799922022313141,0.0239009002135118,0.0223898458320707,100,100,100,0.125296046510552,1
241,"HH",0.0521573252971529,NA,0.0203621728714734,NA,100,0,NA,0.140420321519745,1
241,"HH-ANT",0.0558600437416403,0.00643686720324078,0.0241257312971786,0.0224924634262803,100,0,100,0.140454125059263,1
242,"HH",0.0494638627134475,NA,0.0203284837479987,NA,100,0,NA,0.143870621510466,1
242,"HH-ANT",0.039216827049977,-0.0177477679785261,0.0240919864370479,0.0224403575948889,100,100,100,0.143486149556509,1
243,"HH",0.081100843218193,NA,0.0203148893518804,NA,100,0,NA,0.127777812303042,1
243,"HH-ANT",0.0795564564908121,-0.00269669320452979,0.0240293690275708,0.0224947771050991,100,0,100,0.127717356714147,1
244,"HH",0.0710211083723394,NA,0.0203256861924835,NA,100,0,NA,0.153295286215445,1
244,"HH-ANT",0.073106410042904,0.00360048966239029,0.0241149130522966,0.02240741428347,100,0,100,0.153287031788084,1
245,"HH",0.0669394118442668,NA,0.0202083659970163,NA,100,0,NA,0.12970704738714,1
245,"HH-ANT",0.0487832832415889,-0.0317228783087188,0.0239060765408391,0.022361777597361,100,0,100,0.129145094684983,1
246,"HH",0.0469862663104719,NA,0.0201145836227378,NA,100,0,NA,0.118890439752393,1
246,"HH-ANT",0.0578632535363577,0.0189490990328445,0.0237492724681088,0.0223118880991314,100,0,100,0.117925215205345,1
247,"HH",0.104820359233677,NA,0.0204244770780124,NA,0,0,NA,0.158629576516548,1
247,"HH-ANT",0.0943320166535692,-0.0180394126030634,0.0242384793441337,0.0225022086159761,100,0,100,0.158153566560562,1
248,"HH",0.0250214061437592,NA,0.0203962036075322,NA,100,100,NA,0.170570385526591,1
248,"HH-ANT",0.00727300476096041,-0.0304441589790836,0.0242313531871267,0.0224419968076361,0,100,100,0.170838342270067,1
249,"HH",0.0775464829798468,NA,0.0201201139428199,NA,100,0,NA,0.120077175538043,1
249,"HH-ANT",0.0635619548582776,-0.0245115402056096,0.0237853131409394,0.0223172737903579,100,0,100,0.120897939948396,1
250,"HH",0.0505907501611622,NA,0.0203571315902371,NA,100,0,NA,0.140826724465991,1
250,"HH-ANT",0.0414184259005337,-0.0159069088063879,0.0241242229814116,0.0224858965600726,100,100,100,0.141232207962649,1
251,"HH",0.0887551871120327,NA,0.0202883956900374,NA,100,0,NA,0.151499594542781,1
251,"HH-ANT",0.0963238276550178,0.01300709156452,0.0240714215467899,0.0223718463921504,100,0,100,0.152069324650352,1
252,"HH",0.0669896478239934,NA,0.020143409059412,NA,100,0,NA,0.13153842483781,1
252,"HH-ANT",0.0617228040821324,-0.00912731231277251,0.0238483896206312,0.0222828917367985,100,0,100,0.131966485813854,1
253,"HH",0.0249547783296576,NA,0.0202523409670551,NA,100,100,NA,0.181310291686764,1
253,"HH-ANT",0.0479334049390339,0.0392497453233493,0.0240728714139961,0.0222583021155003,100,0,100,0.180506721004015,1
254,"HH",0.0793674542717404,NA,0.020374097118536,NA,100,0,NA,0.146141351782632,1
254,"HH-ANT",0.0709291935698323,-0.0146203046583505,0.024153514510663,0.0224845270048583,100,0,100,0.146025352519178,1
255,"HH",0.07594427358641,NA,0.0202269248783018,NA,100,0,NA,0.131281583903237,1
255,"HH-ANT",0.0968728111147442,0.0365108133477694,0.0239468522599534,0.0223788338080583,100,0,100,0.132000794313198,1
256,"HH",0.0797033304018507,NA,0.020150192500933,NA,100,0,NA,0.120160134578399,1
256,"HH-ANT",0.0910226521270133,0.0199356205823848,0.0238123658904053,0.0223492456664888,100,0,100,0.120371850894995,1
257,"HH",0.0376536957853568,NA,0.0202878017651754,NA,100,100,NA,0.137120534478163,1
257,"HH-ANT",0.0113452528426681,-0.0458074703619236,0.0240290745672748,0.02242017699105,0,100,0,0.13726985508811,1
258,"HH",0.0628975279996461,NA,0.0203662157667794,NA,100,0,NA,0.134235421326481,1
258,"HH-ANT",0.0690419013210822,0.01067725533499,0.0241154156009691,0.0225235671584138,100,0,100,0.134607642054695,1
259,"HH",0.0430041104308415,NA,0.0202124681349091,NA,100,0,NA,0.128785281191351,1
259,"HH-ANT",0.0543274807742596,0.0198207222458804,0.0239139508542752,0.0223728703165923,100,0,100,0.128737673730344,1
