"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
1401,"HH",0.0792077566339386,NA,0.020230968192962,NA,100,0,NA,0.126590811215605,1
1401,"HH-ANT",0.0974808864379088,0.0320367545427983,0.0239249280129759,0.0224039429823921,100,0,100,0.126367016602238,1
1402,"HH",0.0476287147446562,NA,0.020209045772489,NA,100,0,NA,0.134245587109469,1
1402,"HH-ANT",0.0379498214608954,-0.0167172568658827,0.0239199784381386,0.022341835394363,100,100,100,0.13340938120253,1
1403,"HH",0.0541323594743015,NA,0.0201763924189382,NA,100,0,NA,0.150616230181387,1
1403,"HH-ANT",0.0561630193513677,0.0035080781695426,0.0239347898986757,0.022247647931597,100,0,100,0.150672501720785,1
1404,"HH",0.0465423193892454,NA,0.0203634892395702,NA,100,0,NA,0.158557313729363,1
1404,"HH-ANT",0.0511221845917243,0.00787997397940926,0.0241691943990364,0.0224346499375912,100,0,100,0.158391812033985,1
1405,"HH",0.0678792409905917,NA,0.0201598123433797,NA,100,0,NA,0.122302108401096,1
1405,"HH-ANT",0.0728993672117929,0.0088258548120845,0.023828594734509,0.0223470825858259,100,0,100,0.122229279521115,1
1406,"HH",0.0544558071401376,NA,0.0201107875369769,NA,100,0,NA,0.12108623990523,1
1406,"HH-ANT",0.0480325755508444,-0.0112872582122186,0.0237651562669841,0.0222974976543029,100,0,100,0.120883231168839,1
1407,"HH",0.0321793899305956,NA,0.0203598109240663,NA,100,100,NA,0.153448582479784,1
1407,"HH-ANT",0.0306494316069388,-0.00262649864435941,0.0241562313227869,0.0224456176149296,100,100,100,0.153586811309353,1
1408,"HH",0.0708960269460774,NA,0.0202215503220203,NA,100,0,NA,0.126567319959668,1
1408,"HH-ANT",0.0758901881976056,0.00874194182867875,0.0239154540192644,0.0223942583507042,100,0,100,0.126409415405985,1
1409,"HH",0.048027675409367,NA,0.0204194139117034,NA,100,0,NA,0.180081134326545,1
1409,"HH-ANT",0.061752150318439,0.0234379008496649,0.0242689840330974,0.0224478116959134,100,0,100,0.17941155305525,1
1410,"HH",0.00652650174093611,NA,0.020303364677397,NA,0,100,NA,0.143190551672816,1
1410,"HH-ANT",0.0285287116162208,0.0378929363620899,0.0240784957727249,0.0224183087220546,100,100,100,0.144964155511352,1
1411,"HH",0.0602058231290174,NA,0.0202794089693242,NA,100,0,NA,0.130113108383407,1
1411,"HH-ANT",0.0527835290478851,-0.0129841530366568,0.0239972490904695,0.0224429760315006,100,0,100,0.130136065516028,1
1412,"HH",0.051229240477853,NA,0.0203064062119711,NA,100,0,NA,0.130960564707213,1
1412,"HH-ANT",0.0651356488697185,0.0240731430182163,0.0240442250867838,0.0224726766109773,100,0,100,0.132172609622645,1
1413,"HH",0.081275180669422,NA,0.0203291039122386,NA,100,0,NA,0.133155779138729,1
1413,"HH-ANT",0.0681477665400203,-0.0229017456962481,0.0240609760817662,0.0224840294690015,100,0,100,0.132817651643907,1
