"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
401,"HH",0.0526146638121592,NA,0.0201229952783815,NA,100,0,NA,0.121122700243713,1
401,"HH-ANT",0.0573619883916002,0.00834129446637278,0.0237801867571619,0.0223114734160015,100,0,100,0.120972556670667,1
402,"HH",0.092365890444338,NA,0.0204734984535904,NA,100,0,NA,0.152318697789561,1
402,"HH-ANT",0.0882959112111332,-0.00698664127528036,0.0242832468884258,0.0225761070924408,100,0,100,0.152003625170032,1
403,"HH",0.0701028764723295,NA,0.0204076949107791,NA,100,0,NA,0.154700950151105,1
403,"HH-ANT",0.0548201214584425,-0.0261209479177153,0.0242241749922856,0.0224977235414872,100,0,100,0.156228650739038,1
404,"HH",0.0645290198470975,NA,0.0203491265510021,NA,100,0,NA,0.160031139266385,1
404,"HH-ANT",0.0382983093646225,-0.045165342715636,0.0241526758565022,0.0224128130198999,100,100,0,0.159698208382318,1
405,"HH",0.0880208481759222,NA,0.0203518997532229,NA,100,0,NA,0.164513325696928,1
405,"HH-ANT",0.0854294847850106,-0.00444351085913292,0.0241674266738993,0.0224065081085495,100,0,100,0.164391229680352,1
406,"HH",0.0512358981477513,NA,0.0203741170469865,NA,100,0,NA,0.148903537235722,1
406,"HH-ANT",0.0476900951667115,-0.00613586384312946,0.0241619123411296,0.022475762503568,100,0,100,0.148961519110418,1
407,"HH",0.083135387261605,NA,0.0203576086302691,NA,100,0,NA,0.157268780548177,1
407,"HH-ANT",0.084880261416574,0.00300829761135143,0.0241608630817752,0.0224319083124832,100,0,100,0.157276318518952,1
408,"HH",0.0449787943269627,NA,0.0202633960306321,NA,100,0,NA,0.142849537935111,1
408,"HH-ANT",0.046974160890944,0.00344601180223571,0.0240182398149566,0.0223719474574771,100,100,100,0.143001543526477,1
409,"HH",0.0634989457537094,NA,0.020285914566724,NA,100,0,NA,0.132939045639947,1
409,"HH-ANT",0.058446644272616,-0.0088196599577069,0.0240135729706265,0.0224371096405757,100,0,100,0.132896452290477,1
410,"HH",0.0333217697920662,NA,0.0203646500921283,NA,100,100,NA,0.16917037157981,1
410,"HH-ANT",0.0460152296951696,0.0217204314136205,0.0241950729842931,0.0224108308801519,100,100,100,0.169936747370493,1
411,"HH",0.0234299266185735,NA,0.0201147331745017,NA,100,100,NA,0.121311348543046,1
411,"HH-ANT",0.0339983853029467,0.0184116356284951,0.0237848905637063,0.022304250894761,100,100,100,0.122197898404718,1
412,"HH",0.0768360051757488,NA,0.0198759600170605,NA,100,0,NA,0.100364135467539,1
412,"HH-ANT",0.0741066630360677,-0.00488977529116366,0.0233952019233003,0.0221832449869557,100,0,100,0.100511884226279,1
413,"HH",0.0306718687590615,NA,0.0201565968325679,NA,100,100,NA,0.138489487087645,1
413,"HH-ANT",0.0292556684010036,-0.00246314099118246,0.0238805867056771,0.0222673716885849,100,100,100,0.138507055704731,1
414,"HH",0.0773268257088694,NA,0.0202930511958333,NA,100,0,NA,0.163534046014929,1
414,"HH-ANT",0.0724421697538865,-0.00838108919269854,0.0240988266646267,0.0223434729670681,100,0,100,0.1637889563797,1
415,"HH",0.0495342378752527,NA,0.0204309290911448,NA,100,0,NA,0.15282735808535,1
415,"HH-ANT",0.0569718476288328,0.0128450950314034,0.0242381243017371,0.0225274502811765,100,0,100,0.152993370884143,1
416,"HH",0.066754082882398,NA,0.0201965198947267,NA,100,0,NA,0.13162554356892,1
416,"HH-ANT",0.0644806969307439,-0.00396241672010967,0.0239071466589197,0.0223420306534424,100,0,100,0.131742989479643,1
417,"HH",0.0647100930171368,NA,0.0204682793652697,NA,100,0,NA,0.200889980783739,1
417,"HH-ANT",0.0649047341533765,0.000331610643155483,0.02435565453794,0.0224701970360723,100,0,100,0.200916777956566,1
418,"HH",0.0297407686721699,NA,0.0201203960798825,NA,100,100,NA,0.117221415968758,1
418,"HH-ANT",0.0355962817195635,0.0102731430181159,0.0237572536836658,0.0223312730672839,100,100,100,0.116852978049852,1
419,"HH",0.0966940327011518,NA,0.0201845061439112,NA,100,0,NA,0.124678330730108,1
419,"HH-ANT",0.110652529997771,0.0245020525627798,0.023864748741241,0.0223614707624004,0,0,100,0.124500711489101,1
420,"HH",0.0555377618405523,NA,0.0200469465289349,NA,100,0,NA,0.112982896853169,1
420,"HH-ANT",0.0401245814084981,-0.0273112407041512,0.0236627354705292,0.0222773451079745,100,100,100,0.113290720602771,1
421,"HH",0.0369670458496135,NA,0.0203511914656999,NA,100,100,NA,0.137425216009128,1
421,"HH-ANT",0.0645860337677195,0.0480070850292528,0.0241119952351199,0.0224927324137228,100,0,0,0.138437042711922,1
422,"HH",0.0556341856181727,NA,0.0202711288737562,NA,100,0,NA,0.140041602412981,1
422,"HH-ANT",0.0549936657059124,-0.00111184892842936,0.0240187344134229,0.0223909971070624,100,0,100,0.140090958823524,1
423,"HH",0.0839663185197213,NA,0.0201731286348166,NA,100,0,NA,0.118338723992087,1
423,"HH-ANT",0.0747372643389494,-0.0162804221601477,0.0238312391264887,0.0223867058253409,100,0,100,0.118540252962577,1
424,"HH",0.0437080057679244,NA,0.0199734134922204,NA,100,0,NA,0.104319396030206,1
424,"HH-ANT",0.0592787796322348,0.027872236788004,0.0235250838950867,0.0222583432698761,100,0,100,0.104205367563986,1
425,"HH",0.0832402060784866,NA,0.0203136052738569,NA,100,0,NA,0.153167600260662,1
425,"HH-ANT",0.0625607738106735,-0.0357005223009262,0.02409692993911,0.0223925868089737,100,0,100,0.152804925245465,1
426,"HH",0.0547274860681986,NA,0.0204455181077898,NA,100,0,NA,0.157277204397323,1
426,"HH-ANT",0.0502486428577717,-0.00771833052942843,0.0242646583989238,0.0225308358295733,100,0,100,0.157416050628376,1
427,"HH",0.0574945327959058,NA,0.0202335239706852,NA,100,0,NA,0.138102550214605,1
427,"HH-ANT",0.0532955392345831,-0.00724651800590968,0.0239657660386386,0.0223551036615728,100,0,100,0.137774859364578,1
428,"HH",0.0633249639257002,NA,0.0200163072530991,NA,100,0,NA,0.109215132441485,1
428,"HH-ANT",0.0345208780894057,-0.0511662829468251,0.0235827215494996,0.0222620087929068,100,100,0,0.108102878729321,1
429,"HH",0.0630357159301133,NA,0.0203735380579292,NA,100,0,NA,0.164630530840524,1
429,"HH-ANT",0.0843188919941787,0.0365660112279922,0.0241958321228511,0.0224304408231931,100,0,100,0.165163608732508,1
430,"HH",0.0616655236207999,NA,0.0201069863222058,NA,100,0,NA,0.131042967020345,1
430,"HH-ANT",0.0589947268631657,-0.0046655479879169,0.023799962232171,0.0222426694797285,100,0,100,0.131048739920178,1
431,"HH",0.0573421667367112,NA,0.0203276573923894,NA,100,0,NA,0.144528880264679,1
431,"HH-ANT",0.0434575323507336,-0.0238613781069116,0.0241064220505911,0.0224404235753178,100,100,100,0.145785467803365,1
432,"HH",0.0712493172560795,NA,0.0202974912727687,NA,100,0,NA,0.140781982198627,1
432,"HH-ANT",0.0414571299734669,-0.0516936747443378,0.0240385605078992,0.0224131584917679,100,100,0,0.139650480155547,1
433,"HH",0.0521605503058206,NA,0.0200672186299722,NA,100,0,NA,0.112122824293548,1
433,"HH-ANT",0.064597216573068,0.0220712055923958,0.0236793454274412,0.0223062709498485,100,0,100,0.11225281432533,1
434,"HH",0.0516359846139772,NA,0.0204053074517621,NA,100,0,NA,0.149607143959408,1
434,"HH-ANT",0.0412146657737696,-0.0179772573761657,0.0242037552940623,0.0225094092140118,100,100,100,0.150173525034316,1
435,"HH",0.0273570915822892,NA,0.0202163673647223,NA,100,100,NA,0.133049257038322,1
435,"HH-ANT",0.0286865618636844,0.00231924679638961,0.0239341375053008,0.0223579658111658,100,100,100,0.13310277051794,1
436,"HH",0.0608754339859436,NA,0.020401392277814,NA,100,0,NA,0.150979254431578,1
436,"HH-ANT",0.0639089698209914,0.00523534392218006,0.0241993831615211,0.0225000111046941,100,0,100,0.151129108735616,1
437,"HH",0.0498249295336471,NA,0.0201871916544004,NA,100,0,NA,0.15047817866689,1
437,"HH-ANT",0.0541119436993109,0.00740233001572152,0.0239458381504357,0.0222598824954124,100,0,100,0.150369003729911,1
438,"HH",0.0842644496812976,NA,0.0202847645316642,NA,100,0,NA,0.142004526854053,1
438,"HH-ANT",0.0833953614001281,-0.00150969294188085,0.0240397185958872,0.0223989017124506,100,0,100,0.142019664378424,1
439,"HH",0.0524123677454307,NA,0.020268036255901,NA,100,0,NA,0.125772184895875,1
