"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
801,"HH",0.0655517521780919,NA,0.0201154871925503,NA,100,0,NA,0.141813766347419,1
801,"HH-ANT",0.0730186940839706,0.0129216356823679,0.0238383771804349,0.0222073689938971,100,0,100,0.141455436338559,1
802,"HH",0.0220041996452857,NA,0.0202035289610658,NA,100,100,NA,0.132329335227121,1
802,"HH-ANT",0.00256092830606075,-0.0337733753254999,0.0239282218620781,0.0223488793144701,0,100,100,0.133542820007477,1
803,"HH",0.0378357159450726,NA,0.020230777471682,NA,100,100,NA,0.132032306555125,1
803,"HH-ANT",0.0241663157213654,-0.0238003866009114,0.0239537960780959,0.022380186108362,100,100,100,0.132705355528541,1
804,"HH",0.0701926416010591,NA,0.0204113331747864,NA,100,0,NA,0.157591342328251,1
804,"HH-ANT",0.0450691857021655,-0.0417884014990884,0.024254385117683,0.0224979955755626,100,100,100,0.162437261770898,1
805,"HH",0.0684129355468661,NA,0.0201851310147348,NA,100,0,NA,0.14297742275377,1
805,"HH-ANT",0.0681105419072642,-0.000521375095124894,0.0239263797448486,0.0222828648121268,100,0,100,0.143026584442727,1
806,"HH",0.028271254314042,NA,0.0201991408716674,NA,100,100,NA,0.11463607944312,1
806,"HH-ANT",0.0222922789218572,-0.0105669894370651,0.0238383723291079,0.0224393158021561,100,100,100,0.114421288007534,1
807,"HH",0.0483942368487219,NA,0.0203866020863807,NA,100,0,NA,0.143188685098856,1
807,"HH-ANT",0.0488337160791878,0.000764164175412238,0.0241616661256328,0.0225096103846311,100,0,100,0.143202659636559,1
808,"HH",0.0527480520218764,NA,0.0203005603333115,NA,100,0,NA,0.138625260942586,1
808,"HH-ANT",0.0452341713690226,-0.0129970272637948,0.024053506480663,0.0224309274551733,100,100,100,0.13916467329907,1
809,"HH",0.0496139377134384,NA,0.0202564287632172,NA,100,0,NA,0.123130521396667,1
809,"HH-ANT",0.0409467461889113,-0.0152332756966221,0.0239469909678167,0.0224535600414091,100,100,100,0.123314528814154,1
810,"HH",0.0195526151137089,NA,0.0201215233846815,NA,0,100,NA,0.140455059279194,1
810,"HH-ANT",0.0237123802326746,0.00721357051041928,0.0238464947073981,0.0222204773542115,100,100,100,0.140624419104211,1
811,"HH",0.0631221633141763,NA,0.0201142182968603,NA,100,0,NA,0.123437125263736,1
811,"HH-ANT",0.0419304256995035,-0.0370391348300501,0.0237957061858586,0.0222919332207138,100,100,100,0.124674541475806,1
812,"HH",0.0362342514758099,NA,0.020305903670684,NA,100,100,NA,0.140770250498632,1
812,"HH-ANT",0.0370544267394963,0.00142564380572061,0.0240609231168567,0.0224274355045152,100,100,100,0.140778684263579,1
813,"HH",0.0968472193318879,NA,0.0202935871311998,NA,100,0,NA,0.14824699297447,1
813,"HH-ANT",0.0796788081940687,-0.0297133955307785,0.0240651118055104,0.0223863825086494,100,0,100,0.148245706623021,1
814,"HH",0.0732311566529123,NA,0.0201351310250796,NA,100,0,NA,0.126550023893057,1
814,"HH-ANT",0.0857856677494175,0.021970265452378,0.0238116569122156,0.0222947415053612,100,0,100,0.1261259099994,1
815,"HH",0.0689501355751342,NA,0.0204966511312186,NA,100,0,NA,0.156593064692037,1
815,"HH-ANT",0.0935458212165773,0.0424257726196313,0.024317907089088,0.0225879577297215,100,0,100,0.156185720602916,1
816,"HH",0.0883516292290727,NA,0.0203659178045406,NA,100,0,NA,0.135988191176146,1
816,"HH-ANT",0.0945525740845874,0.0108089668451775,0.0241168909383933,0.0225146643012855,100,0,100,0.136010237113184,1
817,"HH",0.0457854637957821,NA,0.020156386871217,NA,100,0,NA,0.126032229976259,1
817,"HH-ANT",0.0388699108483055,-0.0121055404155658,0.0238369416863058,0.0223224599005338,100,100,100,0.125799085071924,1
818,"HH",0.0632360014002362,NA,0.0200527893213656,NA,100,0,NA,0.115925090959857,1
818,"HH-ANT",0.0539999736556144,-0.0163062787785371,0.0236746673350324,0.0222622783131231,100,0,100,0.115657993241615,1
819,"HH",0.0560390495415062,NA,0.0206737539639114,NA,100,0,NA,0.181681300224686,1
819,"HH-ANT",0.0280878484878668,-0.0474955464986259,0.0245842202541815,0.0227311574351562,100,100,0,0.184324646029946,1
820,"HH",0.0722777382349617,NA,0.020216968132272,NA,100,0,NA,0.136713466287511,1
820,"HH-ANT",0.0844563875741383,0.0211853789693204,0.0239485915608862,0.0223433443854607,100,0,100,0.137059382371203,1
821,"HH",0.0680006800499526,NA,0.0204253248877368,NA,100,0,NA,0.152550491612738,1
821,"HH-ANT",0.0594558974941807,-0.0147568794028885,0.0242312452497219,0.0225220365280741,100,0,100,0.152762112578724,1
822,"HH",0.0604540100871244,NA,0.0204361587358775,NA,100,0,NA,0.192930389632612,1
822,"HH-ANT",0.0642300463272928,0.00643865846142907,0.024308764426744,0.0224458866696617,100,0,100,0.192914356443994,1
823,"HH",0.0815657473032014,NA,0.0204010633830084,NA,100,0,NA,0.152024053592657,1
823,"HH-ANT",0.0813970366825135,-0.000294154166503236,0.0242004883666224,0.0224961654339196,100,0,100,0.152051023476192,1
824,"HH",0.0699770944203476,NA,0.0203264295799585,NA,100,0,NA,0.145724360873225,1
824,"HH-ANT",0.0945385915419115,0.0425535123833305,0.0240924340358704,0.022430165873549,100,0,100,0.145235456343012,1
825,"HH",0.0671991726337142,NA,0.0203990313391366,NA,100,0,NA,0.156747093142812,1
825,"HH-ANT",0.0798949267851176,0.021826706214498,0.0242028840796556,0.0224782739203079,100,0,100,0.15602508134485,1
826,"HH",0.0318785829538822,NA,0.0202886198793775,NA,100,100,NA,0.13480045007994,1
826,"HH-ANT",0.0228001747602264,-0.0158022123202601,0.0240194736721768,0.0224310495025714,100,100,100,0.134462360784922,1
827,"HH",0.0392790423058488,NA,0.0203596838072464,NA,100,100,NA,0.149772490991697,1
827,"HH-ANT",0.0321860785930216,-0.0122542472177766,0.024148581614473,0.0224569951367709,100,100,100,0.150032885248145,1
828,"HH",0.0354825445461548,NA,0.020027830241562,NA,100,100,NA,0.114752913350518,1
828,"HH-ANT",0.031539651711849,-0.00697852490508524,0.0236450379630125,0.0222426298880791,100,100,100,0.114777192735203,1
829,"HH",0.0850948372692135,NA,0.0202757605578453,NA,100,0,NA,0.130601176404376,1
829,"HH-ANT",0.0777214310283893,-0.0128938909416133,0.0239947662352372,0.022436522872086,100,0,100,0.130632495881826,1
830,"HH",0.0797264640209363,NA,0.0200091120284089,NA,100,0,NA,0.123581299049302,1
830,"HH-ANT",0.0901437578085842,0.0182867871403201,0.0236613069175351,0.0221684002156369,100,0,100,0.123707949491674,1
831,"HH",0.0904254170008306,NA,0.0203751000713958,NA,100,0,NA,0.155357059255027,1
831,"HH-ANT",0.0878087066859341,-0.00451370058962841,0.0241777430201137,0.0224570710968798,100,0,100,0.155425946145596,1
832,"HH",0.0422695413493138,NA,0.0202986943681239,NA,100,0,NA,0.140112763295994,1
832,"HH-ANT",0.0553930322200046,0.0227815726036594,0.0240542903701401,0.0224224406324154,100,0,100,0.14055796735528,1
833,"HH",0.0667106073584618,NA,0.0203505810393505,NA,100,0,NA,0.153182908359213,1
833,"HH-ANT",0.0714080030631127,0.00810822831611721,0.0241431366543156,0.0224355607033254,100,0,100,0.153091058205966,1
834,"HH",0.043303718128074,NA,0.0200904119506648,NA,100,0,NA,0.106822225869293,1
834,"HH-ANT",0.0497646477442942,0.0115095548863649,0.0236722465182977,0.0223726347653136,100,0,100,0.106598473142033,1
835,"HH",0.0727278692301849,NA,0.0202930533326565,NA,100,0,NA,0.142034163415271,1
835,"HH-ANT",0.0638593781840747,-0.0153526067755032,0.0240451930766703,0.0224069375131499,100,0,100,0.141590773441969,1
836,"HH",0.0437450394480169,NA,0.0204639194206987,NA,100,0,NA,0.139725713226879,1
836,"HH-ANT",0.0644273407774481,0.0359811200098165,0.0242421935255085,0.022609628969276,100,0,100,0.139850861372954,1
