"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
601,"HH",0.0527340754881831,NA,0.0202889147639622,NA,100,0,NA,NA,0.145227476605359,NA,1
601,"HH-ANT",0.0640893411949066,0.0196802246245333,0.0240535651899453,0.0223919320566824,100,0,100,100,0.145345415752565,NA,1
601,"ETI",0.0560056568727862,NA,0.0325691902911207,NA,100,100,NA,NA,0.145647850733006,NA,1
601,"ETI-ANT",0.0881549868723613,0.0291667037051628,0.0429399965532258,0.0253937035893329,100,0,100,100,0.14653923361787,NA,1
601,"TEH",0.0527340987594917,NA,0.0202889398962591,NA,100,0,NA,NA,0.145230343508693,2.87666732366376e-05,1
601,"TEH-ANT",0.0640927919852516,0.019681667721158,0.0240558129585318,0.022392216027237,100,0,100,100,0.145342658640845,0.000372698692540387,0
602,"HH",0.0667119979902496,NA,0.0201478977778593,NA,100,0,NA,NA,0.128584798078263,NA,1
602,"HH-ANT",0.0957159795080122,0.0507622477741606,0.0238375004842567,0.0222989291328521,100,0,100,0,0.128617446989603,NA,1
602,"ETI",0.0468394193676956,NA,0.0320744274176624,NA,100,100,NA,NA,0.129902060702134,NA,1
602,"ETI-ANT",0.104018063274037,0.0533746193938882,0.041796603626797,0.0250773429754288,100,0,100,0,0.129217694051488,NA,1
602,"TEH",0.06671202658651,NA,0.0201478792239233,NA,100,0,NA,NA,0.128582093270083,0,1
602,"TEH-ANT",0.0957159898487367,0.0507622529445177,0.023837509254276,0.0222989313808071,100,0,100,0,0.128618214473247,0,1
603,"HH",0.0379741242990989,NA,0.020438256852621,NA,100,100,NA,NA,0.145706901388414,NA,1
603,"HH-ANT",0.0556805454391917,0.0306636046419273,0.0242225915070302,0.022556847173787,100,0,100,100,0.145106029639032,NA,1
603,"ETI",0.062295962165404,NA,0.032773032044885,NA,100,100,NA,NA,0.145174345656181,NA,1
603,"ETI-ANT",0.116428475732753,0.0493348522229478,0.043079529159468,0.0255369073163761,100,0,100,100,0.144403322816396,NA,1
603,"TEH",0.0415741570341372,NA,0.0235971640854329,NA,100,100,NA,NA,0.145584453357188,0.0177226686161273,1
603,"TEH-ANT",0.0655891224501097,0.0343513475205539,0.0289136071089503,0.0231414547866664,100,0,100,100,0.144817971686342,0.0198990587389028,1
604,"HH",0.0503795530718006,NA,0.0203418634068028,NA,100,0,NA,NA,0.143332834010047,NA,1
604,"HH-ANT",0.0875467648606766,0.0642664889777332,0.0240864396253221,0.0224502366806475,100,0,100,0,0.141079082089905,NA,1
604,"ETI",0.0363030017921422,NA,0.0326352014095031,NA,100,100,NA,NA,0.144496673258397,NA,1
604,"ETI-ANT",0.120446720271938,0.0762551968385918,0.042663135439331,0.0253708195387432,100,0,100,0,0.139770601110366,NA,1
604,"TEH",0.0503795453313128,NA,0.0203418639182438,NA,100,0,NA,NA,0.143332932486454,0,1
604,"TEH-ANT",0.0875467413255923,0.0642664772101989,0.0240864420955349,0.0224502373118303,100,0,100,0,0.141079353852971,0,1
605,"HH",0.0331900856733074,NA,0.0201713752157861,NA,0,100,NA,NA,0.122440965496529,NA,1
605,"HH-ANT",0.0498423899571569,0.0292886031390461,0.0238427379834536,0.0223591239882611,100,0,100,100,0.122429494251527,NA,1
605,"ETI",-0.0194176705408469,NA,0.0319803661709329,NA,0,100,NA,NA,0.124087732240117,NA,1
605,"ETI-ANT",-0.00433310997090994,0.0142468688959745,0.0415189074094074,0.0250633843839179,100,100,100,100,0.123856872438209,NA,1
605,"TEH",0.0331900743615424,NA,0.0201713829496818,NA,0,100,NA,NA,0.122441947095614,0,1
605,"TEH-ANT",0.049842401236837,0.0292886092204485,0.0238428124211725,0.0223591428128781,100,0,100,100,0.122435021437357,1.14476494543199e-05,1
606,"HH",0.069037604232982,NA,0.0202873553409386,NA,100,0,NA,NA,0.165664991144645,NA,1
606,"HH-ANT",0.0902302218979146,0.0364011738225629,0.0240912326311866,0.0223300689076871,100,0,100,100,0.165280566621844,NA,1
606,"ETI",0.0641205379516665,NA,0.0328548802232562,NA,100,100,NA,NA,0.166383090481893,NA,1
606,"ETI-ANT",0.10955399977627,0.0402233302589607,0.0436641856820704,0.0255103070240648,100,0,100,100,0.165563302228495,NA,1
606,"TEH",0.0690376015525878,NA,0.0202873557817422,NA,100,0,NA,NA,0.165665120871456,0,1
606,"TEH-ANT",0.0902302107926367,0.0364011682699235,0.0240912360379075,0.0223300697682251,100,0,100,100,0.165281154932691,0,1
607,"HH",0.0429865946330091,NA,0.0199594570307841,NA,100,0,NA,NA,0.12081038912271,NA,1
607,"HH-ANT",0.0805305139522918,0.0659279258217055,0.0235677572313437,0.0221182412046985,100,0,100,0,0.119278019125295,NA,1
607,"ETI",0.021940178468391,NA,0.0316326772689513,NA,100,100,NA,NA,0.122284707627901,NA,1
607,"ETI-ANT",0.0970303379742909,0.0709247278161949,0.0408235228896936,0.0247382505221254,100,0,100,0,0.119257551048404,NA,1
607,"TEH",0.0429865925108823,NA,0.0199594572511359,NA,100,0,NA,NA,0.120810416872107,0,1
607,"TEH-ANT",0.0805305136727606,0.065927925681945,0.0235677572887002,0.0221182412194188,100,0,100,0,0.11927802333657,0,1
608,"HH",0.0491277364202861,NA,0.0201775606149789,NA,100,0,NA,NA,0.131002076425023,NA,1
608,"HH-ANT",0.0856940449873126,0.0637688401133348,0.0238925770391852,0.0223235147667399,100,0,100,0,0.132297518119957,NA,1
608,"ETI",-0.00428588184184953,NA,0.0321082207871097,NA,0,100,NA,NA,0.130373469281499,NA,1
608,"ETI-ANT",0.0511389508428156,0.0516244047982046,0.0419597863057801,0.02512753908161,100,100,100,0,0.13125282219856,NA,1
608,"TEH",0.0491276770741084,NA,0.020177548711198,NA,100,0,NA,NA,0.13100025612204,0,1
608,"TEH-ANT",0.0856935182943282,0.0637685767668465,0.0238925048547457,0.0223234962790869,100,0,100,0,0.132290731468902,0,1
609,"HH",0.050931026289464,NA,0.0202132622838763,NA,100,0,NA,NA,0.128521277026972,NA,1
609,"HH-ANT",0.0718466984182584,0.0365872214681752,0.0239070999056828,0.022372782552416,100,0,100,100,0.127947996067846,NA,1
609,"ETI",0.0418859795854133,NA,0.0321431002580585,NA,100,100,NA,NA,0.128984032667667,NA,1
609,"ETI-ANT",0.0862727737218724,0.041523918215331,0.0418335213577972,0.0251387340251968,100,0,100,100,0.128119047987288,NA,1
609,"TEH",0.0509311243550912,NA,0.0202132478022044,NA,100,0,NA,NA,0.128519187655915,0,1
609,"TEH-ANT",0.0718465265905675,0.0365871355543284,0.0239071438561742,0.0223727938203709,100,0,100,100,0.127951756977947,0,1
610,"HH",0.0606419572678351,NA,0.02031503726013,NA,100,0,NA,NA,0.157373817822102,NA,1
610,"HH-ANT",0.0851662363357647,0.0422241717596177,0.0241150980758527,0.0223837820315982,100,0,100,100,0.158177844869945,NA,1
610,"ETI",0.0252568000185928,NA,0.032776520573059,NA,100,100,NA,NA,0.1574319543243,NA,1
610,"ETI-ANT",0.0628555203039152,0.0336294319420297,0.0434476727216711,0.0254969239701874,100,100,100,100,0.158028651860438,NA,1
610,"TEH",0.0490720864434536,NA,0.0261173700704524,NA,100,100,NA,NA,0.157295276165122,0.0264564783879735,1
