"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
801,"HH",0.0574014247549676,NA,0.0201243897584836,NA,100,0,NA,NA,0.143202481140954,NA,1
801,"HH-ANT",0.0880186943203779,0.0529216358005583,0.0238383771550123,0.0222073689874055,100,0,100,0,0.141455433437404,NA,1
801,"ETI",0.0487219933007707,NA,0.0323058697933489,NA,100,100,NA,NA,0.144232929278826,NA,1
801,"ETI-ANT",0.117889185957292,0.0623943431305188,0.0422969214825514,0.025116729475132,100,0,100,0,0.139994824465221,NA,1
801,"TEH",0.057401422599916,NA,0.020124389909741,NA,100,0,NA,NA,0.143202511090549,0,1
801,"TEH-ANT",0.0880187374979722,0.0529216573893525,0.0238383725150256,0.0222073678025959,100,0,100,0,0.141454903917759,0,1
802,"HH",0.0139755471136556,NA,0.0202116463510019,NA,0,100,NA,NA,0.133737519980123,NA,1
802,"HH-ANT",0.0175609282971307,0.00622662467006991,0.0239282218628878,0.0223488793146775,0,100,100,100,0.133542820085219,NA,1
802,"ETI",0.0401284432555703,NA,0.0322063250160409,NA,100,100,NA,NA,0.132746949654259,NA,1
802,"ETI-ANT",0.0637916030259073,0.0218785791642588,0.0420333366383683,0.0251601513657843,100,100,100,100,0.13185924971161,NA,1
802,"TEH",0.0139755379897427,NA,0.0202116470272586,NA,0,100,NA,NA,0.133737629031623,0,1
802,"TEH-ANT",0.0175609729152004,0.00622664697910547,0.0239282178105937,0.0223488782771039,0,100,100,100,0.133542430630712,0,1
803,"HH",0.0298569849444047,NA,0.0202376713652993,NA,0,100,NA,NA,0.133146090796485,NA,1
803,"HH-ANT",0.0391663240337001,0.0161996175552704,0.023953795081684,0.0223801858531683,100,100,100,100,0.132705261706322,NA,1
803,"ETI",0.0192094965388231,NA,0.0322771987840746,NA,100,100,NA,NA,0.133740782590084,NA,1
803,"ETI-ANT",0.0346747495156271,0.0141215317281616,0.0421444862594404,0.0252093241953873,100,100,100,100,0.132786655589628,NA,1
803,"TEH",0.0298552790476593,NA,0.0202378863291507,NA,0,100,NA,NA,0.133169677261932,7.13657304684486e-05,1
803,"TEH-ANT",0.0391663874896777,0.0161996497210384,0.0239537969282006,0.0223801849359252,100,100,100,100,0.132704432028733,2.57342933692717e-05,1
804,"HH",0.0611507759424052,NA,0.0204278329522526,NA,100,0,NA,NA,0.162192670156851,NA,1
804,"HH-ANT",0.060069184371221,-0.00178840216459266,0.0242543851511622,0.0224979955840386,100,0,100,100,0.162437267164366,NA,1
804,"ETI",0.131754595511633,NA,0.0326973252856481,NA,100,0,NA,NA,0.147071548936092,NA,1
804,"ETI-ANT",0.180644877797324,0.0402453144523776,0.0425690306863129,0.0253495858027406,0,0,100,100,0.138146440906315,NA,1
804,"TEH",0.0740158585794428,NA,0.0236895946235573,NA,100,0,NA,NA,0.15912825410258,0.0179941589327944,1
804,"TEH-ANT",0.0803065452862623,0.00613440827706058,0.0289634110612708,0.0230910184883489,100,0,100,100,0.157882238925054,0.0198101593516945,1
805,"HH",0.0603071897265199,NA,0.0201909397170803,NA,100,0,NA,NA,0.14391378156161,NA,1
805,"HH-ANT",0.0831105424895603,0.0394786251960429,0.0239263796545712,0.0222828647890839,100,0,100,100,0.143026573923938,NA,1
805,"ETI",0.0481177855150417,NA,0.0324183913343808,NA,100,100,NA,NA,0.144997190876362,NA,1
805,"ETI-ANT",0.0980155300065794,0.0451968461580356,0.0425800337221016,0.0252354021663527,100,0,100,100,0.142955428296977,NA,1
805,"TEH",0.0603071764308601,NA,0.0201909410424111,NA,100,0,NA,NA,0.143914045221238,0,1
805,"TEH-ANT",0.0831104465016718,0.0394785772020997,0.0239263945348769,0.0222828685872276,100,0,100,100,0.143028307737757,0,1
806,"HH",0.0206477708367479,NA,0.0201912059278621,NA,0,100,NA,NA,0.113753852966095,NA,1
806,"HH-ANT",0.0372922811393124,0.0294330116716503,0.0238383726921576,0.022439315895358,100,100,100,100,0.114421311109001,NA,1
806,"ETI",0.0202312472425759,NA,0.0317299229729632,NA,100,100,NA,NA,0.114120894387203,NA,1
806,"ETI-ANT",0.0569409175743392,0.0348192219262062,0.04108107692098,0.0250324044362483,100,100,100,100,0.116637154025737,NA,1
806,"TEH",0.0206478623497017,NA,0.0201912223615524,NA,0,100,NA,NA,0.113755555591302,0,1
806,"TEH-ANT",0.0372922489768248,0.0294329955904086,0.0238383674264332,0.0224393145435459,100,100,100,100,0.114420976043366,0,1
807,"HH",0.040241546032378,NA,0.0203951953476158,NA,100,0,NA,NA,0.144634851667299,NA,1
807,"HH-ANT",0.0638337151143792,0.0407641636929761,0.0241616662190607,0.0225096104084893,100,0,100,100,0.143202670262735,NA,1
807,"ETI",0.0677317233312634,NA,0.0326596105537022,NA,100,0,NA,NA,0.14280693048876,NA,1
807,"ETI-ANT",0.136903784702836,0.0631307498473688,0.0427802935548215,0.0254344237325224,100,0,100,0,0.140388841418033,NA,1
807,"TEH",0.0405331840838403,NA,0.020621563509079,NA,100,0,NA,NA,0.144592676961847,0.00420214839307207,1
807,"TEH-ANT",0.0682853548779824,0.0424327683746406,0.0259722623113447,0.0227379882019385,100,0,100,100,0.142896637469523,0.0112424787653866,1
808,"HH",0.04461349952745,NA,0.0203099771020879,NA,100,0,NA,NA,0.140243289738984,NA,1
808,"HH-ANT",0.0602341833929872,0.0270029787481675,0.0240535054788568,0.0224309271990443,100,0,100,100,0.139164566824642,NA,1
808,"ETI",0.0231977684013166,NA,0.0325574778926099,NA,100,100,NA,NA,0.142362130506405,NA,1
808,"ETI-ANT",0.0475599014155435,0.0219163003319272,0.0426854168706581,0.0253658666189931,100,100,100,100,0.140551060840169,NA,1
808,"TEH",0.0444385169681063,NA,0.020442989892276,NA,100,0,NA,NA,0.140262509283471,0.00320523685919212,1
808,"TEH-ANT",0.0602338170647006,0.0270027955840218,0.0240535360005179,0.0224309350024356,100,0,100,100,0.13916781083769,0,1
809,"HH",0.0418511357383671,NA,0.0202602259411481,NA,100,0,NA,NA,0.123584213087889,NA,1
809,"HH-ANT",0.0559467463713141,0.024766724394608,0.0239469909046158,0.0224535600251928,100,0,100,100,0.123314523949361,NA,1
809,"ETI",0.0540936442094452,NA,0.0320700517185019,NA,100,100,NA,NA,0.123368045819404,NA,1
809,"ETI-ANT",0.0940116127510516,0.0378544178009236,0.0415878005339071,0.0251421625799047,100,0,100,100,0.123047426395005,NA,1
809,"TEH",0.0430778992627142,NA,0.0215302188014041,NA,100,0,NA,NA,0.12357036219711,0.0104979185814508,1
809,"TEH-ANT",0.0597380761358535,0.0262438650890507,0.0261214791635702,0.0227195488023854,100,0,100,100,0.123271785070232,0.0126597400696174,1
810,"HH",0.0115074461922205,NA,0.0201199165244763,NA,0,100,NA,NA,0.139879119102046,NA,1
810,"HH-ANT",0.03871238010701,0.0472135704475904,0.0238464946857616,0.0222204773486848,100,100,100,0,0.140624416677909,NA,1
810,"ETI",-0.0163769195830692,NA,0.0322162546205818,NA,0,100,NA,NA,0.139836999821899,NA,1
810,"ETI-ANT",0.033076750949874,0.0452079025063897,0.0423786918763902,0.0251476904389103,100,100,100,100,0.140974151948037,NA,1
810,"TEH",0.0115074507802053,NA,0.0201199176264808,NA,0,100,NA,NA,0.139879323362348,5.37968846195535e-08,1
810,"TEH-ANT",0.0387123147236065,0.0472135377558892,0.0238464834362754,0.022220474475224,100,100,100,0,0.140623155225783,0,1
811,"HH",0.0552378332334205,NA,0.0201231069195962,NA,100,0,NA,NA,0.124736897212152,NA,1
811,"HH-ANT",0.0569303970104016,0.00296085082538426,0.0237957091077999,0.0222919339702005,100,0,100,100,0.124674777305465,NA,1
811,"ETI",0.0722846277468208,NA,0.0318622114187738,NA,100,0,NA,NA,0.123489040204222,NA,1
811,"ETI-ANT",0.0887188087065868,0.01538691430425,0.041316581618116,0.0249615301176856,100,0,100,100,0.122696139704246,NA,1
811,"TEH",0.0636185238264614,NA,0.0250371031809785,NA,100,0,NA,NA,0.124120237334821,0.0239412058931137,1
811,"TEH-ANT",0.0700598402053664,0.00849039495199067,0.0301937703400255,0.0230508823244979,100,0,100,100,0.123794014440963,0.0250526772232321,1
812,"HH",0.0281592141735744,NA,0.0203124444297703,NA,0,100,NA,NA,0.141769857894609,NA,1
