"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
1001,"HH",0.0526788725696621,NA,0.0200646316712879,NA,100,0,NA,0.123940896979433,1
1001,"HH-ANT",0.0648615603282818,0.0213720257733858,0.0237217048453592,0.0222283890377864,100,0,100,0.123650339218736,1
1002,"HH",0.0827932334853025,NA,0.0203609837389235,NA,100,0,NA,0.163719822761583,1
1002,"HH-ANT",0.0896556492873818,0.0116860364691501,0.024181646883732,0.0224198317604392,100,0,100,0.164454504154217,1
1003,"HH",0.0632451701128444,NA,0.0203138983782293,NA,100,0,NA,0.157974739882195,1
1003,"HH-ANT",0.0575588857572152,-0.00969985240167263,0.0241071942043449,0.0223798342576263,100,0,100,0.157401627760728,1
1004,"HH",0.049226594981256,NA,0.0204604105449531,NA,100,0,NA,0.169821326173886,1
1004,"HH-ANT",0.0449561852523002,-0.00732883899051132,0.0243045345733622,0.0225157484273124,100,100,100,0.169782644080081,1
1005,"HH",0.0847494368814717,NA,0.0202256108797873,NA,100,0,NA,0.140624254209331,1
1005,"HH-ANT",0.0886902055198113,0.00682689396452778,0.0239687421657947,0.022337632265319,100,0,100,0.140838621839217,1
1006,"HH",0.0616751073556235,NA,0.0201785758673661,NA,100,0,NA,0.105331809343116,1
1006,"HH-ANT",0.0356816408107022,-0.0464947053601209,0.0237547599937677,0.0224837409036576,100,100,0,0.104675426827925,1
1007,"HH",0.0670463634647898,NA,0.0202451861568478,NA,100,0,NA,0.150519464371805,1
1007,"HH-ANT",0.0506707115664254,-0.0282327587312441,0.0240076724301707,0.0223230793189404,100,0,100,0.149687482617651,1
1008,"HH",0.087880783958268,NA,0.0200842236337863,NA,100,0,NA,0.126775216981436,1
1008,"HH-ANT",0.084023008982765,-0.00671989272846403,0.0237560884556061,0.0222365444500616,100,0,100,0.126543965665815,1
1009,"HH",0.0536518968374311,NA,0.0203343443476891,NA,100,0,NA,0.156339017441679,1
1009,"HH-ANT",0.0723791003156368,0.032285808753198,0.0241329930165141,0.0224081163787524,100,0,100,0.156658239614145,1
1010,"HH",0.0533659725571298,NA,0.0202423660209099,NA,100,0,NA,0.132883017425763,1
1010,"HH-ANT",0.034623812929044,-0.0327054493020055,0.0239656629394047,0.0223880955600029,100,100,100,0.133188267710177,1
1011,"HH",0.070349329633249,NA,0.0204805873460821,NA,100,0,NA,0.179056497076405,1
1011,"HH-ANT",0.0543316777105068,-0.0274123818747263,0.0243415066315524,0.0225184330895533,100,0,100,0.178869886640192,1
1012,"HH",0.0784883903730737,NA,0.0203772054176217,NA,100,0,NA,0.176985806039086,1
1012,"HH-ANT",0.0534200417575791,-0.0428436780517039,0.0242108127351104,0.022404878887706,100,0,100,0.175732154674657,1
1013,"HH",0.0250513506491035,NA,0.0203791091344704,NA,100,100,NA,0.141032443192866,1
1013,"HH-ANT",0.0174761441217377,-0.0131591509005562,0.0241482609883554,0.0225094599135387,100,100,100,0.141195267182162,1
1014,"HH",0.0571108910796112,NA,0.0202177200029448,NA,100,0,NA,0.143182132379146,1
1014,"HH-ANT",0.0350947389460817,-0.0381914842720384,0.023962124692855,0.022317391752365,100,100,100,0.143038374780031,1
1015,"HH",0.0224727225964582,NA,0.0202134377721456,NA,100,100,NA,0.153806431361072,1
1015,"HH-ANT",0.00104381450318952,-0.0369758166595264,0.0239852248304053,0.0222790459775015,0,100,100,0.154028019379604,1
1016,"HH",0.0692288394101382,NA,0.019877275575787,NA,100,0,NA,0.107247167610848,1
1016,"HH-ANT",0.078311937169242,0.0161737722169524,0.0234298004487183,0.0221226012362448,100,0,100,0.107031400338337,1
