"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
1601,"HH",0.0680935817272834,NA,0.0200460268664812,NA,100,0,NA,NA,0.114707334072278,NA,1
1601,"HH-ANT",0.107624105567752,0.0696515370902655,0.0236254392510973,0.0222507523886875,100,0,100,0,0.11239204354545,NA,1
1601,"ETI",0.0568423273358833,NA,0.0315816528714686,NA,100,100,NA,NA,0.115732509616692,NA,1
1601,"ETI-ANT",0.139168215358085,0.0791213356131503,0.0404123421002392,0.0247479946935269,100,0,100,0,0.112001870726903,NA,1
1601,"TEH",0.0680937946670291,NA,0.0200460095806014,NA,100,0,NA,NA,0.114705466354535,0,1
1601,"TEH-ANT",0.107624074984959,0.069651521798873,0.0236254436182592,0.022250753509802,100,0,100,0,0.112392314875766,0,1
1602,"HH",0.016305242573547,NA,0.0201191067293801,NA,0,100,NA,NA,0.107116707400191,NA,1
1602,"HH-ANT",0.00805050586385198,-0.0146656541653293,0.0237031455490959,0.0224024187451671,0,100,0,100,0.106696091121973,NA,1
1602,"ETI",0.0177640576412882,NA,0.0314578726983391,NA,100,100,NA,NA,0.108211714779991,NA,1
1602,"ETI-ANT",0.00385712270476461,-0.013638474126285,0.0402323063644595,0.0248274644104127,100,100,0,100,0.10770653973595,NA,1
1602,"TEH",0.0163050810494703,NA,0.0201190899083195,NA,0,100,NA,NA,0.10711520909877,0,1
1602,"TEH-ANT",0.00805050427347775,-0.0146656549605178,0.0237031453344124,0.0224024186900835,0,100,0,100,0.106696079602778,0,1
1603,"HH",0.073114098163838,NA,0.020025033539491,NA,100,0,NA,NA,0.117479794494661,NA,1
1603,"HH-ANT",0.0812172449290798,0.0142989263672752,0.0236553923325519,0.0222220902428318,100,0,100,100,0.11761105307338,NA,1
1603,"ETI",0.0644430625257644,NA,0.0315941422408162,NA,100,0,NA,NA,0.117746619741126,NA,1
1603,"ETI-ANT",0.0778147166369421,0.0128187169257268,0.0408618816595929,0.024821101247364,100,100,100,100,0.117871608947325,NA,1
1603,"TEH",0.0703905949806702,NA,0.0232510553798639,NA,100,0,NA,NA,0.117480276414247,0.0181587380340461,1
1603,"TEH-ANT",0.0791285385425346,0.0133320831816677,0.0275894245034172,0.0226929538760413,100,0,100,100,0.117592952237323,0.0181265372021472,1
1604,"HH",0.0264199302059074,NA,0.0203061591799416,NA,0,100,NA,NA,0.137195088977417,NA,1
1604,"HH-ANT",0.0489392388195714,0.0391569810426355,0.0240568492925288,0.0224425686569408,100,0,100,100,0.137935171833234,NA,1
1604,"ETI",0.02449182477197,NA,0.0324472274156245,NA,100,100,NA,NA,0.137369027348408,NA,1
1604,"ETI-ANT",0.0800418091221457,0.0507356528684381,0.0426877806817003,0.0253769004273404,100,100,100,0,0.140183058487657,NA,1
1604,"TEH",0.0264199754182951,NA,0.02030616769011,NA,0,100,NA,NA,0.137196544131424,0,1
1604,"TEH-ANT",0.048939091689473,0.0391569074775891,0.0240568261547657,0.0224425627389924,100,0,100,100,0.137932774074851,0,1
1605,"HH",0.0593498162916735,NA,0.0202626146130672,NA,100,0,NA,NA,0.141125801629773,NA,1
1605,"HH-ANT",0.0955281995759451,0.0628412447678125,0.0240051903278674,0.0223733152711028,100,0,100,0,0.140786966788902,NA,1
1605,"ETI",0.0312987734498777,NA,0.0324792270450933,NA,100,100,NA,NA,0.142394931854043,NA,1
1605,"ETI-ANT",0.103890454991747,0.0663358283843752,0.0426292334247418,0.0253099665689874,100,0,100,0,0.14125857855246,NA,1
1605,"TEH",0.0538135921057295,NA,0.0235090121151082,NA,100,0,NA,NA,0.141282409372242,0.0179998186622521,1
1605,"TEH-ANT",0.0955305265163477,0.0626962275438863,0.0274176886568525,0.0228003241799959,100,0,100,0,0.140783839505136,0.0162467690130082,1
1606,"HH",0.0472707710273688,NA,0.0203709766419749,NA,100,0,NA,NA,0.165383721201487,NA,1
1606,"HH-ANT",0.0697516382774854,0.038484576985943,0.0241817890188242,0.0224225406522534,100,0,100,100,0.163841379401036,NA,1
1606,"ETI",0.0535194844262634,NA,0.0329557933645793,NA,100,100,NA,NA,0.164916049115388,NA,1
1606,"ETI-ANT",0.116932458322159,0.0559320594849214,0.0436357984483115,0.0255637025194807,100,0,100,0,0.16118999164503,NA,1
1606,"TEH",0.0476330467947514,NA,0.0228618826109769,NA,100,0,NA,NA,0.16539245825111,0.0151540919373072,1
