"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
1723,"ETI-ANT",0.115710933681744,0.0479296877124163,0.0434058374549939,0.0254710792260415,100,0,100,100,0.157948110361,NA,1
1723,"TEH",0.0601966371440729,NA,0.351117284676939,NA,100,100,NA,NA,0.159801298798094,0.98877552025063,1
1723,"TEH-ANT",0.112914396370738,0.0469720442595834,0.355691926428227,0.0254646422380728,100,100,100,100,0.157993698216309,0.998543212471067,1
1724,"HH",-0.87738620635071,NA,0.0234803074911636,NA,0,0,NA,NA,0.334150451830019,NA,1
1724,"HH-ANT",-1.15243752783719,-0.456888888279988,0.0279025172265993,0.0255646451699762,0,0,0,0,0.392791112202214,NA,1
1724,"ETI",0.110326939625365,NA,0.0325371008567193,NA,100,0,NA,NA,0.141657745949751,NA,1
1724,"ETI-ANT",0.0789418312417327,-0.0286826101540042,0.0427009891066207,0.0253683263406144,100,100,0,100,0.140869608767735,NA,1
1724,"TEH",0.108488510269983,NA,0.354572956477067,NA,100,100,NA,NA,0.141601527797059,0.998658645263768,1
1724,"TEH-ANT",0.0760610590080083,-0.0296512277646041,0.353449778107489,0.0253611110952895,100,100,0,100,0.140819702575781,0.992399125096569,1
1725,"HH",-0.881007036759072,NA,0.0235955119611074,NA,0,0,NA,NA,0.332881153749114,NA,1
1725,"HH-ANT",-1.12256533454706,-0.401387400941241,0.0280700490124094,0.0257239105422944,0,0,0,0,0.383520749269824,NA,1
1725,"ETI",0.0838236646242037,NA,0.0330595079556919,NA,100,0,NA,NA,0.165341925297714,NA,1
1725,"ETI-ANT",0.123428882452386,0.0349102365938763,0.0440151223650243,0.0257063408051996,100,0,100,100,0.167470728731506,NA,1
1725,"TEH",0.0820418577949757,NA,0.356812710331564,NA,100,100,NA,NA,0.165271669658703,1.00488411570443,1
1725,"TEH-ANT",0.120477059361721,0.0339017924360891,0.360591366835342,0.0256975364523819,100,100,100,100,0.167302008554038,1.01229662329181,1
1726,"HH",-0.861809921961202,NA,0.0236355098469978,NA,0,0,NA,NA,0.298040490586769,NA,1
1726,"HH-ANT",-1.10466154672797,-0.402669438117818,0.0281231651052166,0.0257919383516852,0,0,0,0,0.351626208378954,NA,1
1726,"ETI",0.0557120250445246,NA,0.032242648327914,NA,0,100,NA,NA,0.12356034003643,NA,1
1726,"ETI-ANT",0.0647237008637928,0.00841683262586454,0.041876821850831,0.0253031652353981,100,100,100,100,0.124273736054765,NA,1
1726,"TEH",0.054056192874186,NA,0.349177966751373,NA,100,100,NA,NA,0.12346156157025,0.983411862412283,1
1726,"TEH-ANT",0.0621130518261944,0.00753013144929458,0.350780496843908,0.0252941273851985,100,100,100,100,0.124111220075955,0.985078787833648,1
1727,"HH",-0.888492784538906,NA,0.0236554453772033,NA,0,0,NA,NA,0.402044597117463,NA,1
1727,"HH-ANT",-1.1268090030848,-0.395982380033695,0.0281443967492948,0.0257636876263882,0,0,0,0,0.454496219820372,NA,1
1727,"ETI",0.106404419389676,NA,0.0331914108085289,NA,100,0,NA,NA,0.159678331972143,NA,1
1727,"ETI-ANT",0.170166601590536,0.0565044264613861,0.0437739070441307,0.0257606092965008,100,0,100,0,0.155384011969158,NA,1
1727,"TEH",0.104458577561638,NA,0.35487349979502,NA,100,100,NA,NA,0.159881871749948,0.999339238498209,1
1727,"TEH-ANT",0.167065297558815,0.0554578004423805,0.360457021903134,0.0257561703845779,100,100,100,0,0.155589169426087,1.01199146838402,1
1728,"HH",-0.865801243988811,NA,0.0234638836641221,NA,0,0,NA,NA,0.31597212803087,NA,1
1728,"HH-ANT",-1.1052363127954,-0.396805432025379,0.0279194629209058,0.0255917201445747,0,0,0,0,0.370736791699307,NA,1
1728,"ETI",0.0654677624353328,NA,0.0326415805807422,NA,100,0,NA,NA,0.147227420720138,NA,1
1728,"ETI-ANT",0.0928897897407695,0.024816049249531,0.0430617440304673,0.0254418605147772,100,0,100,100,0.148026797238399,NA,1
1728,"TEH",0.0637648384539001,NA,0.350276706013666,NA,100,100,NA,NA,0.147164644779258,0.986427587351145,1
1728,"TEH-ANT",0.0901262274567491,0.023872745141755,0.353079895685679,0.0254334798681176,100,100,100,100,0.1479028876906,0.991222127828488,1
