"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
1401,"HH",-0.854075235571532,NA,0.0234992424126266,NA,0,0,NA,NA,0.338128295710492,NA,1
1401,"HH-ANT",-1.07023110186589,-0.358278944509734,0.0279780665031713,0.0256365327479095,0,0,0,0,0.388348214588033,NA,1
1401,"ETI",0.0778178482170727,NA,0.032184784817001,NA,100,0,NA,NA,0.128767959387113,NA,1
1401,"ETI-ANT",0.153082505575942,0.0705002510784119,0.0417969639343898,0.0251543861959121,100,0,100,0,0.126881318871521,NA,1
1401,"TEH",0.0761288863954434,NA,0.349382064967946,NA,100,100,NA,NA,0.128844361268231,0.984005133317227,1
1401,"TEH-ANT",0.150447216953214,0.0696138062959064,0.355259643974614,0.0251486012238002,100,100,100,0,0.126883517201852,0.997859655836504,1
1402,"HH",-0.875657385969622,NA,0.0234994228050533,NA,0,0,NA,NA,0.309309584319831,NA,1
1402,"HH-ANT",-1.11674038382124,-0.400522064407509,0.0279567060203501,0.0256328046595754,0,0,0,0,0.35951855490133,NA,1
1402,"ETI",0.0591177092990996,NA,0.0321247377258695,NA,100,100,NA,NA,0.130337363930339,NA,1
1402,"ETI-ANT",0.0766167199297559,0.016016519107653,0.042017850164838,0.0251520958453781,100,100,100,100,0.131770515433965,NA,1
1402,"TEH",0.0574681838171629,NA,0.355823337006137,NA,100,100,NA,NA,0.130248672223421,1.00231658239657,1
1402,"TEH-ANT",0.073964245004364,0.0151143182579881,0.357936667350293,0.0251431855086463,100,100,100,100,0.131589330491485,1.00541443819072,1
1403,"HH",-0.878544844206582,NA,0.0233392689085109,NA,0,0,NA,NA,0.361432470744914,NA,1
1403,"HH-ANT",-1.11110434042229,-0.386585306617877,0.0277694165058808,0.0254341468793943,0,0,0,0,0.41028576177395,NA,1
1403,"ETI",0.0444330430210038,NA,0.0325122060275842,NA,0,100,NA,NA,0.152290546758849,NA,1
1403,"ETI-ANT",0.0848393838021782,0.0363365798945591,0.0429520656545325,0.0252936196615574,100,0,100,100,0.151627351606582,NA,1
1403,"TEH",0.0427812753669466,NA,0.350021515900968,NA,100,100,NA,NA,0.152378443026242,0.985735896633824,1
1403,"TEH-ANT",0.0821575520353496,0.0354161823446395,0.353680495859703,0.0252876540734856,100,100,100,100,0.151691855572461,0.992968081338087,1
1404,"HH",-0.890329517936243,NA,0.0235025480069909,NA,0,0,NA,NA,0.381826322214568,NA,1
1404,"HH-ANT",-1.12226694365928,-0.385274295046663,0.0279668097709801,0.025607377287138,0,0,0,0,0.432959068984926,NA,1
1404,"ETI",0.0616114473945523,NA,0.0329210692720148,NA,100,100,NA,NA,0.161206056109627,NA,1
1404,"ETI-ANT",0.120795595151915,0.0524627817662204,0.0435350310303058,0.0255540440879243,100,0,100,0,0.158023735923163,NA,1
1404,"TEH",0.0598503890004349,NA,0.353570535741687,NA,100,100,NA,NA,0.161347615634035,0.995709634524127,1
1404,"TEH-ANT",0.117940225874147,0.0514871128373857,0.358470476818146,0.0255486020301624,100,100,100,0,0.158152813638326,1.00641474682922,1
1405,"HH",-0.866923717693529,NA,0.0233586350976505,NA,0,0,NA,NA,0.352288892892708,NA,1
1405,"HH-ANT",-1.09768977295431,-0.382928420171556,0.0277968941657804,0.0254619325016111,0,0,0,0,0.404456468866554,NA,1
1405,"ETI",0.0633402758795216,NA,0.0320444056861688,NA,100,0,NA,NA,0.126464981516322,NA,1
1405,"ETI-ANT",0.103041100678143,0.0370417397042096,0.0415397110761859,0.02505853178755,100,0,100,100,0.124404449233505,NA,1
1405,"TEH",0.0615513726864283,NA,0.342369660023316,NA,100,100,NA,NA,0.126610070534218,0.964121644551274,1
