"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
801,"HH",-0.872517725787445,NA,0.0233099578086875,NA,0,0,NA,NA,0.380578511676998,NA,1
801,"HH-ANT",-1.10193090711159,-0.381012869816039,0.0277384376613413,0.0253974715529715,0,0,0,0,0.431684228224552,NA,1
801,"ETI",0.0937219935153177,NA,0.0323058697715962,NA,100,0,NA,NA,0.144232928368161,NA,1
801,"ETI-ANT",0.16288918602627,0.0623943431562886,0.0422969214659509,0.0251167294710268,100,0,100,0,0.139994824180623,NA,1
801,"TEH",0.0919243995309706,NA,0.350632536012694,NA,100,100,NA,NA,0.144410015848257,0.987524983283711,1
801,"TEH-ANT",0.160061345715907,0.0614398000632354,0.356353782489209,0.0251128046350684,100,100,100,0,0.140153917260907,1.00080531108424,1
802,"HH",-0.915715829357912,NA,0.0234587793944716,NA,0,0,NA,NA,0.366975700254273,NA,1
802,"HH-ANT",-1.17394687367704,-0.428486981217639,0.0278930504819891,0.0255418756540334,0,0,0,0,0.426224869577582,NA,1
802,"ETI",0.0851284407432969,NA,0.0322063254676948,NA,100,0,NA,NA,0.13274696481708,NA,1
802,"ETI-ANT",0.108791599704741,0.0218785778509586,0.0420333376791706,0.0251601516212675,100,0,100,100,0.131859265135574,NA,1
802,"TEH",0.0833550136380655,NA,0.355416601400882,NA,100,100,NA,NA,0.132854239796375,1.00113901792756,1
802,"TEH-ANT",0.106013557763046,0.0209441138881216,0.357993875924185,0.0251562548973246,100,100,100,100,0.13198158517026,1.00556537869493,1
803,"HH",-0.899464417493273,NA,0.0235187448928782,NA,0,0,NA,NA,0.378214325052041,NA,1
803,"HH-ANT",-1.15099606721674,-0.417841282970548,0.0279690933918689,0.0256093222330079,0,0,0,0,0.4334042064583,NA,1
803,"ETI",0.0642095296765752,NA,0.0322771952694438,NA,100,0,NA,NA,0.133740662885411,NA,1
803,"ETI-ANT",0.0796747415457385,0.0141215288341828,0.0421444875387162,0.0252093245096107,100,100,100,100,0.132786674772224,NA,1
803,"TEH",0.062465316225607,NA,0.355331297977556,NA,100,100,NA,NA,0.133932821141229,1.00087790677255,1
803,"TEH-ANT",0.0769106014626096,0.0131850928255338,0.357345527886668,0.025207418138109,100,100,100,100,0.133037454777228,1.00367885017137,1
804,"HH",-0.878963898482363,NA,0.0235214037516843,NA,0,0,NA,NA,0.446514372180967,NA,1
