"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
401,"HH",-0.884838518705794,NA,0.0235380433712188,NA,0,0,NA,NA,0.375548694646804,NA,1
401,"HH-ANT",-1.11669457842829,-0.385146693844163,0.0280093131796594,0.0256489545654323,0,0,0,0,0.42635010855042,NA,1
401,"ETI",0.0636894321563719,NA,0.0319580164674407,NA,100,0,NA,NA,0.124994851825627,NA,1
401,"ETI-ANT",0.11132243024893,0.0442117487654643,0.0412813000393203,0.0249757495766812,100,0,100,100,0.121636392942074,NA,1
401,"TEH",0.0619714819927989,NA,0.354834417729519,NA,100,100,NA,NA,0.125202946141552,0.999548156547809,1
401,"TEH-ANT",0.108693140751859,0.0433286676932304,0.358979628672463,0.0249743632221053,100,100,100,100,0.12184535535672,1.00861775008382,1
402,"HH",-0.833330570718128,NA,0.023642514216372,NA,0,0,NA,NA,0.327288109537498,NA,1
402,"HH-ANT",-1.06894390973713,-0.392066256650013,0.0281286037943452,0.0257834184114206,0,0,0,0,0.373524200201993,NA,1
402,"ETI",0.0670026386981999,NA,0.0328081589814134,NA,100,0,NA,NA,0.146501883756762,NA,1
402,"ETI-ANT",0.0722424000429874,0.00473564596461969,0.0432232759791278,0.0255750573390167,100,100,100,100,0.146896293728727,NA,1
402,"TEH",0.0653000119037909,NA,0.351785610010986,NA,100,100,NA,NA,0.146485198191368,0.990669731401873,1
402,"TEH-ANT",0.0695105369814407,0.00380566691505774,0.353183233860807,0.025567422729884,100,100,100,100,0.146835179636117,0.991459478385149,1
403,"HH",-0.871463713264672,NA,0.0235984070664739,NA,0,0,NA,NA,0.411644412178171,NA,1
403,"HH-ANT",-1.12610083319492,-0.42304113014496,0.0280615409315167,0.0256832249462052,0,0,0,0,0.468591667999761,NA,1
403,"ETI",0.15674607004643,NA,0.0328020303559622,NA,100,0,NA,NA,0.151171105553732,NA,1
403,"ETI-ANT",0.210389803928471,0.0477860750683716,0.0430974529885894,0.0254860929375295,0,0,100,100,0.14710885783635,NA,1
403,"TEH",0.154886812017849,NA,0.36015220280274,NA,100,100,NA,NA,0.151375025397038,1.01443509618215,1
403,"TEH-ANT",0.207432095520623,0.0467842681455533,0.364901243472139,0.0254828166901401,100,100,100,100,0.147339540346133,1.02488148555377,1
404,"HH",-0.866408074151101,NA,0.023422189004659,NA,0,0,NA,NA,0.341274260010403,NA,1
404,"HH-ANT",-1.12831090199659,-0.434929653296892,0.0278452898170701,0.0255093875252874,0,0,0,0,0.39807899660744,NA,1
404,"ETI",0.109082349834953,NA,0.0328666901586141,NA,100,0,NA,NA,0.160136524885486,NA,1
404,"ETI-ANT",0.108424668040099,-0.000591158165385985,0.0435975065013317,0.025553807276305,100,0,100,100,0.160323068315343,NA,1
404,"TEH",0.107258870123341,NA,0.351391161691351,NA,100,100,NA,NA,0.160113243785237,0.989533709862831,1
404,"TEH-ANT",0.10547540077913,-0.00159544166887129,0.352424111044647,0.0255462413355103,100,100,100,100,0.16028878918809,0.989164652328134,1
405,"HH",-0.839760456167567,NA,0.0235268600272475,NA,0,0,NA,NA,0.325290030119979,NA,1
405,"HH-ANT",-1.07511028556797,-0.391173100936273,0.0279925096485535,0.0256574550420079,0,0,0,0,0.373887309770646,NA,1
405,"ETI",0.0984071694215291,NA,0.032879406024478,NA,100,0,NA,NA,0.161859834589414,NA,1
405,"ETI-ANT",0.135084349115015,0.0323754702009426,0.04372960392933,0.0255771839720115,100,0,100,100,0.164018435167479,NA,1
405,"TEH",0.0967035869638877,NA,0.357318290871084,NA,100,100,NA,NA,0.161778653360969,1.00636739055555,1
405,"TEH-ANT",0.132253875018231,0.0314044527351711,0.36082037762793,0.0255683687393127,100,100,100,100,0.163838335426252,1.0130480042484,1
406,"HH",-0.881829932585797,NA,0.0235682138497039,NA,0,0,NA,NA,0.355648011598268,NA,1
406,"HH-ANT",-1.12078484574742,-0.396833039200733,0.0280400301057211,0.025684703287075,0,0,0,0,0.407858216951276,NA,1
406,"ETI",0.10494186282465,NA,0.0327534835936461,NA,100,0,NA,NA,0.149143158032676,NA,1
406,"ETI-ANT",0.165129992669837,0.054468596292605,0.0432336926483697,0.0255179235964801,100,0,100,0,0.149796319240311,NA,1
406,"TEH",0.103170321267566,NA,0.356667215489608,NA,100,100,NA,NA,0.149166582135376,1.00455034030698,1
406,"TEH-ANT",0.162263374067631,0.0534966633997504,0.361834220139763,0.025510579303012,100,100,100,0,0.149732810801392,1.0161044114148,1
407,"HH",-0.851040088932607,NA,0.0234863468812228,NA,0,0,NA,NA,0.362277774043046,NA,1
407,"HH-ANT",-1.08486736417456,-0.388325220084823,0.0279460986732657,0.0255956715170812,0,0,0,0,0.413627669905923,NA,1
407,"ETI",0.127216906608063,NA,0.0328482704330834,NA,100,0,NA,NA,0.157825847090889,NA,1
407,"ETI-ANT",0.201676320921619,0.0666425742300234,0.0435081131915589,0.0255423109636522,100,0,100,0,0.157703208932043,NA,1
407,"TEH",0.125449433490723,NA,0.352460775671748,NA,100,100,NA,NA,0.157873053971344,0.992576764387912,1
407,"TEH-ANT",0.198745332306946,0.0656422640079767,0.3563105029264,0.025534014221249,100,100,100,0,0.157582064238648,1.00027307039212,0
408,"HH",-0.882109395155162,NA,0.0233887726523983,NA,0,0,NA,NA,0.321323928075839,NA,1
408,"HH-ANT",-1.11263930304397,-0.382820425065785,0.0278325347392131,0.0255114645636094,0,0,0,0,0.370603895616499,NA,1
408,"ETI",0.0304156985086984,NA,0.032404520292643,NA,0,100,NA,NA,0.1398163867352,NA,1
408,"ETI-ANT",0.0612623170815331,0.0282065623422765,0.0425979026789537,0.0252993229080016,100,100,100,100,0.140837005574335,NA,1
408,"TEH",0.0287305691719239,NA,0.347739534404884,NA,100,100,NA,NA,0.139802674358943,0.979282440407,1
408,"TEH-ANT",0.0585475196353803,0.0272822962089391,0.350837549208693,0.0252915489452311,100,100,100,100,0.140751945804534,0.984992291945219,1
409,"HH",-0.867457121152572,NA,0.0235087112832381,NA,0,0,NA,NA,0.347021306206228,NA,1
409,"HH-ANT",-1.1070893981893,-0.398047386089248,0.0279679030777693,0.0256222928283364,0,0,0,0,0.39856232262718,NA,1
409,"ETI",0.0651960271919442,NA,0.0323477014371705,NA,100,0,NA,NA,0.133604992730507,NA,1
409,"ETI-ANT",0.0884757420028644,0.0216063708780316,0.0422767590730332,0.025280776432271,100,0,100,100,0.133461935511675,NA,1
409,"TEH",0.063505178648128,NA,0.350042027847753,NA,100,100,NA,NA,0.133668641518356,0.985837325487048,1
409,"TEH-ANT",0.0858079909933453,0.0207030157799551,0.352514888588121,0.0252752728051554,100,100,100,100,0.133506392480736,0.989878539141467,1
410,"HH",-0.894344850040219,NA,0.0233310505919141,NA,0,0,NA,NA,0.314422012860386,NA,1
410,"HH-ANT",-1.11403599378639,-0.364764885227696,0.0277718185076804,0.0254606627156132,0,0,0,0,0.361433222442544,NA,1
410,"ETI",0.00256806541405892,NA,0.032916087509316,NA,0,100,NA,NA,0.164327905896824,NA,1
410,"ETI-ANT",0.0515962884472356,0.0433569615645853,0.0438101273374139,0.0255935411866023,100,100,100,100,0.166246261333274,NA,1
410,"TEH",0.000823814234386846,NA,0.344843110414607,NA,100,100,NA,NA,0.16426642667573,0.970917113559663,1
410,"TEH-ANT",0.0486911033735051,0.0423601381294408,0.349083650161816,0.0255844720771635,100,100,100,100,0.16608947960151,0.979569118843998,1
411,"HH",-0.900430113502435,NA,0.02337349537207,NA,0,0,NA,NA,0.312278822372297,NA,1
411,"HH-ANT",-1.1204589363933,-0.365276730120206,0.0278226845293956,0.0255088723624505,0,0,0,0,0.359496915769634,NA,1
411,"ETI",0.0169588394253965,NA,0.0316914024674003,NA,0,100,NA,NA,0.118033152202516,NA,1
411,"ETI-ANT",0.072446620413083,0.052457256043037,0.0412278726100136,0.0249563246947743,100,100,100,0,0.121138789456175,NA,1
411,"TEH",0.0153528236987074,NA,0.348142411327611,NA,100,100,NA,NA,0.118005138634738,0.980613032599508,1
411,"TEH-ANT",0.0698531652714779,0.0515793693196396,0.352638955366072,0.0249476580524631,100,100,100,0,0.120980719606751,0.990589686688713,1
412,"HH",-0.858550445926652,NA,0.023448331798812,NA,0,0,NA,NA,0.338455373893827,NA,1
412,"HH-ANT",-1.09854622540274,-0.397675924411167,0.0278994962105177,0.0255608319656445,0,0,0,0,0.394970424898413,NA,1
412,"ETI",0.0880005459499191,NA,0.0310012307137208,NA,100,0,NA,NA,0.103642851035863,NA,1
412,"ETI-ANT",0.123881556804873,0.0355775106875693,0.0393810879647717,0.0244910559410668,100,0,100,100,0.102075632565171,NA,1
412,"TEH",0.0864745310209816,NA,0.351874243395234,NA,100,100,NA,NA,0.103747418463838,0.991384108849328,1
412,"TEH-ANT",0.121611981319115,0.0348188965677882,0.354924398192171,0.0244889454624821,100,100,100,100,0.102165915749738,0.997685719222969,1
413,"HH",-0.899232222252819,NA,0.0233545887895315,NA,0,0,NA,NA,0.324598281466106,NA,1
413,"HH-ANT",-1.13515292091221,-0.391127140548357,0.0277901054567387,0.0254680355351652,0,0,0,0,0.378410390910048,NA,1
413,"ETI",0.0218485627585291,NA,0.0322406549288661,NA,0,100,NA,NA,0.138265833766746,NA,1
413,"ETI-ANT",0.051736372642528,0.0274651768441742,0.0423017296487233,0.0251629457458157,100,100,100,100,0.138316060754558,NA,1
413,"TEH",0.0202155305631559,NA,0.349207625692556,NA,100,100,NA,NA,0.138273763586514,0.983495634249708,1
413,"TEH-ANT",0.049121600374113,0.0265728132056489,0.35214174570819,0.0251562380855371,100,100,100,100,0.138291061803242,0.988808498270731,1
